,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0,0.03444052,0.231225571,1,0.979554238,0.902615542,0.848991123,0.006053694,,,0,0.086986422,0.1653309,0.843306194,0.96245768,0.918147247,0.811115528,0.016867678,,,0,0.008339209,0.015097284,0.071187959,0.081106769,0.057572267,0.055391732,0.001293054
1,0.1348254,0.210365558,0.941717917,0.958430139,0.911539475,0.685883794,0,,,1,0.106780538,0.126241209,0.916399308,0.94175379,0.930826974,0.895625797,0.026933792,,,1,0.01023683,0.011527787,0.077358138,0.079362042,0.058367347,0.061163007,0.002064708
2,0.082084349,0.101636995,0.779604097,0.931978819,0.961931897,0.829303058,0.016889399,,,2,0.177603897,0.108657712,0.801892809,0.879486278,0.823609047,0.810224379,0.057423979,,,2,0.01702652,0.00992214,0.067692035,0.074114729,0.051644265,0.055330875,0.004402045
3,0.096595421,0.118095477,0.651902761,0.979867524,0.896502074,0.880284139,0.04452762,,,3,0.108459491,0.161522293,0.728190464,0.826352851,0.815502461,0.742679762,0.179090694,,,3,0.010397788,0.014749499,0.061470429,0.06963715,0.051135943,0.050718199,0.013728852
4,0.106602307,0.224398475,0.825953931,1,0.927350831,0.877220163,0.030942995,,,4,0.079434035,0.095268723,0.690852768,0.737872909,0.918676117,0.694303593,0.205013795,,,4,0.007615177,0.008699517,0.058318555,0.062180903,0.05760543,0.047414551,0.015716082
5,0.029589893,0.148479382,0.939445895,0.983238749,0.944052145,0.799054029,0.028739231,,,5,0.1014254,0.102901971,0.67885333,0.696575566,0.946815643,0.634213517,0.246798709,,,5,0.009723444,0.009396551,0.057305619,0.058700756,0.059369914,0.043310952,0.018919258
6,0.09340611,0.080731762,0.940160958,0.883452298,0.945130255,0.930655911,0.028388652,,,6,0.196843392,0.152058269,0.689139553,0.753935041,0.923026664,0.685528564,0.363360646,,,6,0.01887097,0.013885286,0.058173934,0.063534466,0.05787823,0.046815297,0.027854739
7,0.172127125,0.0510484,0.912528633,0.918525914,0.915509774,0.939982095,0.0065677,,,7,0.193570059,0.18555286,0.555052406,0.793683372,0.827373458,0.731141903,0.398951841,,,7,0.018557163,0.016943863,0.046854925,0.066884077,0.051880312,0.049930269,0.030583112
8,0.132177255,0.126548028,0.963907124,0.923551988,0.922091862,0.931216785,0.040030382,,,8,0.231619996,0.298376755,0.540666727,0.676114794,0.787017979,0.765783758,0.451800069,,,8,0.022204932,0.02724644,0.045640553,0.056976517,0.049349829,0.052295989,0.034634386
9,0.1037821,0.048239562,0.964869928,0.816507744,0.86934697,0.699894424,0.041702773,,,9,0.269038384,0.383025071,0.543202595,0.582357782,0.820911898,0.897079951,0.476214746,,,9,0.025792155,0.034976149,0.045854619,0.049075569,0.051475141,0.061262312,0.036505983
10,0.158151504,0.182142816,0.919900368,0.929478371,0.868348507,0.883776396,0.090829417,,,10,0.283530995,0.301869987,0.539403603,0.484964909,0.737079107,0.808958951,0.534949141,,,10,0.027181532,0.027565427,0.045533926,0.040868225,0.04621842,0.055244458,0.041008483
11,0.253146644,0.089018698,0.817043769,0.904577791,0.811017298,0.858805125,0.067476249,,,11,0.317838223,0.321603346,0.628463394,0.474212124,0.721291493,0.830850559,0.535090009,,,11,0.030470495,0.02936739,0.053051936,0.039962082,0.04522846,0.056739453,0.041019281
12,0.267712604,0.173620859,0.614499723,0.884990322,0.772102144,0.876058849,0.032220352,,,12,0.375955528,0.247847338,0.452264622,0.450879941,0.664325478,0.679214938,0.508669927,,,12,0.036042082,0.022632318,0.038178061,0.037995868,0.041656416,0.046384135,0.038993953
