,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0,0.040707484,0.653722547,0.804700757,1,0.948839113,0.580499157,0.005984484,,,0,0.087890476,0.494885374,0.813356182,0.973897452,0.965471697,0.707253398,0.008576411,,,0,0.008414509,0.04201509,0.067550957,0.078842847,0.060513904,0.048365262,0.000687091
1,0.116969033,0.458550008,0.897440861,0.973865015,1,0.58670857,0.005987504,,,1,0.084638353,0.359261994,0.870450376,0.932666219,0.934462426,0.845985991,0.037193551,,,1,0.008103155,0.030500851,0.072292751,0.075504931,0.058570303,0.057852439,0.002979724
2,0.09914822,0.483636122,0.844214219,0.955734169,0.970945326,0.794547089,0,,,2,0.113385801,0.156557875,0.802079226,0.950229138,0.893893492,0.804955631,0.038298246,,,2,0.010855395,0.013291549,0.066614382,0.076926754,0.05602752,0.055046593,0.003068225
3,0.094737166,0.383632818,0.70706889,0.965990624,0.942102351,0.867258774,0.022333658,,,3,0.073225063,0.180512485,0.670819262,0.913083259,0.822616822,0.799552089,0.068497748,,,3,0.007010463,0.015325262,0.055712963,0.073919573,0.051560036,0.054677074,0.005487628
4,0.077838566,0.48243479,0.842781459,0.94921893,0.908492695,0.786539179,0.019597865,,,4,0.048893445,0.230934512,0.683237303,0.858454324,0.864653145,0.837681643,0.167361365,,,4,0.004680989,0.019606023,0.056744308,0.069497032,0.054194792,0.057284549,0.013407987
5,0.0343199,0.319600584,1,0.96329516,0.97741953,0.750581613,0.037635958,,,5,0.0866369,0.330677453,0.70686148,0.794458655,0.842736963,0.751910511,0.27789726,,,5,0.008294493,0.028074062,0.058706346,0.064316199,0.052821128,0.051419122,0.022263459
6,0.073259889,0.339450892,0.842650186,0.863251482,0.912997519,0.861795296,0.049374853,,,6,0.150163646,0.260339008,0.714834681,0.740938151,0.781130895,0.812655892,0.391617886,,,6,0.014376453,0.022102425,0.059368537,0.059983392,0.048959778,0.055573173,0.031374073
7,0.117822677,0.233793447,0.824973344,0.922459219,0.932894826,0.968243389,0.027757459,,,7,0.185319844,0.263834617,0.592060153,0.71957737,0.641070062,0.784512087,0.436228947,,,7,0.017742257,0.022399197,0.049171852,0.058254109,0.040181035,0.053648569,0.034948043
8,0.119950731,0.421030256,0.841846893,0.965106306,0.940507564,0.862770477,0.051601619,,,8,0.22258409,0.412299851,0.588362422,0.692894093,0.653808072,0.835906162,0.467235988,,,8,0.021309883,0.035003692,0.048864748,0.056093937,0.040979429,0.057163134,0.037432141
9,0.069022395,0.366997386,0.875459207,0.917478688,0.914820539,0.760557804,0.051752845,,,9,0.270836193,0.440327321,0.59908675,0.628343099,0.740437597,0.886483375,0.449145442,,,9,0.025929471,0.037383186,0.049755426,0.050868147,0.046409201,0.060621838,0.035982835
10,0.098760787,0.287862655,0.844015725,0.990016307,0.974381694,0.812046836,0.05851962,,,10,0.302636048,0.318793715,0.566020597,0.571292193,0.748013176,0.68336141,0.457226104,,,10,0.028973944,0.027065149,0.047009212,0.046249533,0.046884023,0.046731417,0.036630209
11,0.176511009,0,0.823285344,0.950448458,0.906148087,0.675836971,0.034052348,,,11,0.339863151,0.344120912,0.528164199,0.503139314,0.782990412,0.694375556,0.47439395,,,11,0.032538013,0.029215394,0.043865158,0.040732149,0.049076329,0.047484615,0.038005594
12,0.148616401,0.074431094,0.738856231,0.961922622,0.83078033,0.86917478,0.029186578,,,12,0.401180931,0.252540358,0.521723377,0.458847228,0.724570849,0.616760703,0.501949498,,,12,0.03840849,0.02144033,0.043330234,0.037146438,0.045414704,0.042176952,0.040213179
13,0.074018413,0.053498242,0.728779624,0.931279615,0.843336808,0.907161766,0.017979838,,,13,0.476778449,0.381609866,0.517822233,0.472597887,0.762508767,0.694295181,0.55646401,,,13,0.045646089,0.032398154,0.043006235,0.038259637,0.047792579,0.047479119,0.044580554
14,0.047638517,0.15559108,0.820535409,0.951336016,0.815491452,0.903695613,0.023391562,,,14,0.466803975,0.44675397,0.430328386,0.447211337,0.853454716,0.702929316,0.597762779,,,14,0.044691147,0.0379288,0.035739686,0.036204443,0.053492896,0.048069561,0.047889163
15,0.108753795,0.186581655,0.699182299,0.892736998,0.846514061,0.889601066,0.036770141,,,15,0.549652589,0.478332547,0.477006029,0.427102123,0.793962972,0.589565828,0.632650121,,,15,0.052622955,0.040609777,0.039616363,0.034576481,0.049764068,0.040317241,0.050684128
16,0.082476129,0.108208521,0.667560325,0.91935272,0.772178627,0.698139083,0.061347431,,,16,0.641661479,0.554759675,0.484608799,0.333183565,0.750618141,0.433219137,0.703740035,,,16,0.061431755,0.047098336,0.040247789,0.02697321,0.047047298,0.02962553,0.056379425
17,0.035684237,0.245609514,0.665495235,0.897656941,0.805454814,0.758777165,0.097292489,,,17,0.704501498,0.767600123,0.361861685,0.280213217,0.729293212,0.483941864,0.807261801,,,17,0.067447969,0.065168198,0.030053381,0.022684942,0.045710692,0.033094185,0.064672967
18,0.091572637,0.206571656,0.50132304,0.904333621,0.873445159,0.747547518,0.123687119,,,18,0.743587753,0.829191003,0.275909016,0.215646799,0.579210658,0.492239008,0.825978943,,,18,0.071190031,0.070397179,0.022914829,0.017457903,0.036303807,0.033661582,0.066172472
19,0,0.106381066,0.60211354,0.863894395,0.878993366,0.896980169,0.11097608,,,19,0.802946067,0.829913709,0.235413083,0.183055494,0.493433398,0.470741975,0.873219348,,,19,0.076872911,0.070458536,0.019551556,0.014819441,0.030927454,0.032191516,0.069957089
20,0.093230072,0.235285963,0.65109794,0.882611499,0.875739266,0.923667112,0.157463304,,,20,0.892413872,0.888067336,0.203376836,0.129693536,0.345221603,0.277337291,0.906804511,,,20,0.085438431,0.075395699,0.016890878,0.010499471,0.021637824,0.018965608,0.072647731
21,0.074496395,0.265920599,0.709830944,0.849932444,0.857587614,0.711105584,0.182828152,,,21,0.907518933,0.931312559,0.226370513,0.041458317,0.152060558,0.108033489,0.880369654,,,21,0.086884568,0.079067159,0.018800551,0.0033563,0.009530863,0.00738783,0.070529929
22,0.031647003,0.315810775,0.797919231,0.852576365,0.92062122,0.791000568,0.177119383,,,22,0.947288812,0.833636051,0.112667023,0.050811942,0.052665792,0.130639248,0.938008862,,,22,0.09069208,0.070774558,0.009357235,0.004113532,0.00330099,0.008933717,0.075147636
23,0.045093754,0.231274156,0.655224858,0.843256915,0.790324257,0.86565478,0.208419908,,,23,0.944703337,0.792490907,0.058211907,0.03359354,0.046257747,0.178832194,0.984331417,,,23,0.09044455,0.067281391,0.004834622,0.002719599,0.002899346,0.012229373,0.078858721
24,0.00193819,0.187496389,0.626984116,0.859195294,0.843227304,0.774680618,0.224561103,,,,10.4451107,11.77875322,12.04063152,12.35238825,15.95454317,14.62316898,12.48221388,,,,,,,,,,
25,0.044338404,0.283879841,0.830025738,0.790370687,0.821327083,0.778806134,0.271529967,,,,,,,,,,,,,,,,,,,,
26,0.141729968,0.440331595,0.69631719,0.771160669,0.850687724,0.644357786,0.282525004,,,,,,,,,,,,,,,,,,,,
27,0.1057651,0.396309467,0.67275603,0.774370046,0.858157878,0.814600816,0.268213363,,,,,,,,,,,,,,,,,,,,
28,0.139412836,0.345369971,0.708224323,0.777196581,0.840284826,0.747107203,0.342656862,,,,,,,,,,,,,,,,,,,,
29,0.175547036,0.368884075,0.747588111,0.794742795,0.834050251,0.824313544,0.364097264,,,,,,,,,,,,,,,,,,,,
30,0.155763898,0.159161232,0.658191792,0.75272819,0.786218252,0.769894727,0.363934547,,,,,,,,,,,,,,,,,,,,
31,0.14015214,0.319296427,0.68562965,0.696819173,0.832166929,0.825963083,0.402172223,,,,,,,,,,,,,,,,,,,,
32,0.100827607,0.192812375,0.755657116,0.74807815,0.755014771,0.803873045,0.414541726,,,,,,,,,,,,,,,,,,,,
33,0.178527551,0.261540929,0.727106738,0.712322449,0.69820427,0.839235062,0.413343668,,,,,,,,,,,,,,,,,,,,
34,0.145409258,0.213576713,0.636830958,0.738864091,0.66862399,0.76619112,0.424046743,,,,,,,,,,,,,,,,,,,,
35,0.153939775,0.25489243,0.49475077,0.698984486,0.639518025,0.770793868,0.423329834,,,,,,,,,,,,,,,,,,,,
36,0.183554157,0.24076802,0.627165877,0.75803673,0.619045634,0.613502982,0.425105596,,,,,,,,,,,,,,,,,,,,
37,0.22839926,0.324691146,0.597598057,0.706110218,0.65988642,0.834679059,0.461108329,,,,,,,,,,,,,,,,,,,,
38,0.215296767,0.285244776,0.603955102,0.695891324,0.618276239,0.937393407,0.447554231,,,,,,,,,,,,,,,,,,,,
39,0.252760979,0.219976424,0.419010606,0.711721211,0.57833375,0.848464854,0.457537569,,,,,,,,,,,,,,,,,,,,
40,0.175422823,0.480155335,0.48317099,0.660928927,0.666062021,0.77510396,0.471799733,,,,,,,,,,,,,,,,,,,,
41,0.2413566,0.586854425,0.68346605,0.687314018,0.651417653,0.773037076,0.482606544,,,,,,,,,,,,,,,,,,,,
42,0.215312235,0.34793978,0.671064974,0.714024799,0.707971755,0.962678656,0.465610271,,,,,,,,,,,,,,,,,,,,
43,0.228067811,0.426573289,0.685099489,0.690481511,0.665255182,0.820246263,0.458625824,,,,,,,,,,,,,,,,,,,,
44,0.232334917,0.458110826,0.674113417,0.688794612,0.741733468,1,0.466003755,,,,,,,,,,,,,,,,,,,,
45,0.274012205,0.48831962,0.556068975,0.670768276,0.711524344,0.93766773,0.459365236,,,,,,,,,,,,,,,,,,,,
46,0.269463466,0.385977268,0.562379485,0.612126758,0.779061146,0.877794565,0.453987321,,,,,,,,,,,,,,,,,,,,
47,0.31285337,0.481490226,0.614449894,0.591113682,0.775757826,0.822905104,0.447849829,,,,,,,,,,,,,,,,,,,,
48,0.265517008,0.387738664,0.588421977,0.578912169,0.694111203,0.794049473,0.418521068,,,,,,,,,,,,,,,,,,,,
49,0.292632385,0.342209099,0.617393357,0.584367371,0.728295715,0.799821595,0.439081742,,,,,,,,,,,,,,,,,,,,
50,0.293734338,0.338468751,0.554051604,0.581644158,0.672929413,0.712956122,0.45526855,,,,,,,,,,,,,,,,,,,,
51,0.294177006,0.261284329,0.631964245,0.559094999,0.776612741,0.722177901,0.462396679,,,,,,,,,,,,,,,,,,,,
52,0.301772983,0.334366681,0.617579946,0.56593427,0.776923164,0.597260533,0.455997478,,,,,,,,,,,,,,,,,,,,
53,0.330863528,0.317639715,0.409113835,0.565420168,0.785304845,0.584590899,0.473386069,,,,,,,,,,,,,,,,,,,,
54,0.340013944,0.342424951,0.530083693,0.533127658,0.882561677,0.587259393,0.477913761,,,,,,,,,,,,,,,,,,,,
55,0.366442662,0.342057437,0.576858267,0.500067724,0.792632066,0.739089164,0.465976794,,,,,,,,,,,,,,,,,,,,
56,0.30522542,0.42515142,0.497436989,0.514787042,0.769860172,0.697003428,0.482396977,,,,,,,,,,,,,,,,,,,,
57,0.364816553,0.305868546,0.484379405,0.477906983,0.756942325,0.699949367,0.472023436,,,,,,,,,,,,,,,,,,,,
58,0.322817176,0.305102208,0.552062642,0.489807163,0.712955821,0.748576428,0.473658781,,,,,,,,,,,,,,,,,,,,
59,0.361868582,0.234514374,0.505715435,0.486878931,0.759613476,0.484767056,0.49751093,,,,,,,,,,,,,,,,,,,,
60,0.39741235,0.317860594,0.555175342,0.444311091,0.700792424,0.619143619,0.497036657,,,,,,,,,,,,,,,,,,,,
61,0.395857092,0.244935585,0.504570682,0.459407746,0.702136457,0.677602717,0.490387054,,,,,,,,,,,,,,,,,,,,
62,0.379472323,0.262606196,0.533180247,0.464843641,0.716929659,0.572399951,0.503161683,,,,,,,,,,,,,,,,,,,,
63,0.471294307,0.202785041,0.509975177,0.438794733,0.74338223,0.729890169,0.521651164,,,,,,,,,,,,,,,,,,,,
64,0.471684046,0.282517179,0.510913437,0.500991589,0.704621621,0.613357818,0.53718158,,,,,,,,,,,,,,,,,,,,
