,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
0,,,,,,,,,,,,,,,,,
1,-4.97222194679922,-4.1208045376796605,-0.47586942149571154,0.5425016507871275,2.0171270290163594,0.6439852361180808,0.46482506520609806,0.5816328936533123,-2.501084891397307,-1.0134367968277629,-4.42516450136044,-3.1805492238635305,-1.311910705674969,-3.4827303333662467,-3.56728787442354,-3.172445856231352,-3.7837419120428155
2,-4.97961593534972,-4.12314134711494,-0.46932099595716653,0.5394392740135422,2.007439759036197,0.6359127785779477,0.47209831605327385,0.5802608368389656,-2.5028721379559813,-1.0161739345925014,-4.368758913612406,-3.1966296344958005,-1.3112969483724655,-3.4839815612390383,-3.567840393699968,-3.1715831810138297,-3.7837287127165076
3,-4.978833106147999,-4.123805141565926,-0.4738395474632615,0.526718683973497,1.9992292237676965,0.6359701971566418,0.4695084883425826,0.5937459349906979,-2.499375682118328,-1.008973423586063,-4.383965830611481,-3.18349355866477,-1.308831312198126,-3.4843867702360614,-3.570181419922402,-3.176450617348185,-3.7848919568399544
4,-4.983249865599544,-4.125465176382249,-0.47833460202787587,0.5280575324170337,2.004570441127056,0.6313636225248757,0.45790747622627054,0.5977305876380108,-2.5046320904082244,-1.0257445091609632,-4.385618391350748,-3.1901337131040064,-1.3237395093235482,-3.4842784704617036,-3.569018889417296,-3.1719611263461194,-3.7808374702161234
5,-4.975959612443129,-4.122938048893905,-0.4826651132894094,0.5252244625010861,1.9976592082616207,0.6231691992095691,0.4687256013831172,0.591692649931326,-2.508284715407443,-1.0281782171328357,-4.398224755619659,-3.1796265880390435,-1.3218926666793291,-3.4849615130659344,-3.5695579581598484,-3.175593117149524,-3.781438705130446
6,-4.9874159749577345,-4.119142486668531,-0.47285978228698683,0.5371274525499674,2.0025766507743867,0.6281979655470112,0.47931491200090887,0.590187724559858,-2.5031153703769555,-1.0228232026883708,-4.4317806378496485,-3.1964525941387167,-1.3147898944143839,-3.483790793382684,-3.5664810049266817,-3.1699607497942237,-3.778092519536911
7,-4.986563193451097,-4.115611064307833,-0.4815996344313168,0.5184851382904373,1.968557871687187,0.5983679347494751,0.46765419216309956,0.5982284834803983,-2.507587425945108,-1.0330546844631228,-4.402739769793263,-3.1847447481896283,-1.3247343608439623,-3.4842436351563877,-3.564713383958671,-3.162972618742349,-3.776247384830136
8,-4.9943575487548895,-4.1148834389349656,-0.4785623273631958,0.5244661973116487,1.989895603472052,0.6201934712343786,0.4664804774766975,0.6047066107807219,-2.5061382208782073,-1.0285771932891052,-4.369063438765756,-3.193501194497202,-1.3248473790484478,-3.486356543883946,-3.567294970066395,-3.175404627419348,-3.7801785744451366
9,-4.980697375563691,-4.110022814931935,-0.477326714564836,0.5400048525244157,2.0047076727963984,0.6299314745493344,0.46758854916479725,0.5967547143964609,-2.493032832020891,-1.0196202315511749,-4.366977693791335,-3.179406762509756,-1.320994675748164,-3.4835669621365946,-3.5624412906881506,-3.171121314180279,-3.7756640232078404
10,-4.9858552633674496,-4.110519138851605,-0.48229124009269697,0.5306244500799343,1.9898448961024662,0.6256688016495723,0.4682132847462644,0.5917565533121242,-2.4940794706839022,-1.0245127667178664,-4.40988129009106,-3.188901164614124,-1.3211132472702152,-3.483955115770948,-3.5647571433365544,-3.1731494154566136,-3.7770001664004114
11,-4.989144380434134,-4.114421336313309,-0.47463215870162423,0.5262726923201403,2.0121678237932104,0.640855621234682,0.46897125304334086,0.5941943136126603,-2.496917988155004,-1.0106669428334318,-4.3874631386957,-3.1870052196407923,-1.3124661141106075,-3.486065433337683,-3.565033761717686,-3.1739174047808256,-3.7766674064920216
12,-5.012479477704968,-4.115999878857764,-0.4838459893217856,0.5289820448241519,1.9977662474716145,0.6274683386968006,0.46496373857840967,0.5866355894967221,-2.5049327801093866,-1.034577934514699,-4.331062995772933,-3.2079970734720953,-1.3298711765508215,-3.4889833010990956,-3.5694615190346077,-3.176235928131808,-3.7809854597409713
13,-5.006487602051938,-4.114596781025602,-0.4956914129048062,0.5224589959504228,2.0029870496024524,0.6362733579972697,0.4595216461832004,0.5982825566889179,-2.506095121084252,-1.0364467323900046,-4.351017317973684,-3.202396131907581,-1.3305707752913545,-3.4881529892185643,-3.570224499897853,-3.1794716060766195,-3.781847808933778
14,-5.008242643713053,-4.115373007490213,-0.4933168690870575,0.5167801608197365,1.9928716681608176,0.6277696352505377,0.45806565933511817,0.5990907794057078,-2.5110991376829497,-1.0353749603394053,-4.404755213479822,-3.2026291384104613,-1.3364755884659072,-3.4916021374993287,-3.5727259913462603,-3.1809183614831533,-3.7837565548242784
15,-5.000683927255703,-4.11532807164793,-0.4964367830686947,0.5228016848961631,1.9979052807968185,0.6214136734435906,0.466159377101142,0.5995041193022668,-2.5094864036654356,-1.0428384914055016,-4.423873319344312,-3.19796625235181,-1.3387028158620198,-3.4912511535563855,-3.5728298092020947,-3.1817853764137434,-3.7825356621352917
16,-4.999208208905852,-4.113816565008691,-0.49175908797089213,0.5102562005036011,1.9779896445284957,0.6261551122670578,0.45507673480292715,0.598532532721114,-2.503967138547159,-1.0289148398295769,-4.37723949862912,-3.1964876533112108,-1.3367260721640053,-3.4904645579200846,-3.5720153028542234,-3.1803702233377087,-3.7802887542454426
17,-5.005829380772045,-4.1150698610001495,-0.5021150405586026,0.5152909656448311,1.9864165711569786,0.621350588669434,0.4525518408209679,0.5871264383049167,-2.5038694157507035,-1.0412070935139266,-4.396553739893592,-3.197692477665049,-1.346780039009118,-3.4898366044296805,-3.5694024365856736,-3.1789644606155245,-3.77592925114142
18,-4.995143555190213,-4.11093515644323,-0.497106087015932,0.5191040299144375,1.97829364833174,0.6178900784176271,0.45299021629171643,0.5905317485047795,-2.505088964445444,-1.049539095753862,-4.431257708378851,-3.1908405374696036,-1.3511681237257462,-3.4886665853027563,-3.564933453287586,-3.1741142241395033,-3.769520465888247
19,-4.999123233919645,-4.107824330982258,-0.49126670805646605,0.5150653448091534,1.9759590881511513,0.6217586889519808,0.4353524060456272,0.592125934945003,-2.50236162520809,-1.0278952752306612,-4.390785707569123,-3.1912109556874015,-1.3326931271578355,-3.4879839830676165,-3.5615647661789263,-3.1691576811354474,-3.766004440700551
20,-5.0060459826278345,-4.109610529315283,-0.48756519988962166,0.5101871193768431,1.9641200869049973,0.6075616438217509,0.4506290727806237,0.5995195021888088,-2.506406968759762,-1.0397616306240516,-4.4578911253294295,-3.1960674466185153,-1.3293154495977724,-3.489536870466899,-3.5645785442356894,-3.174147983009595,-3.7684063025290793
21,-4.998402906626167,-4.105433395807893,-0.4904636945481116,0.5071495823052786,1.9713912537448641,0.6178817855369086,0.4532725036907253,0.6024165723199465,-2.4966599465078323,-1.0272972367351234,-4.388556803288171,-3.187317384606185,-1.3308311474114105,-3.4840448894037364,-3.5573702357109136,-3.167369239005795,-3.760115280832925
22,-4.994678093087229,-4.105218841544874,-0.4935459860064634,0.5096971170829208,1.9632340791738143,0.6081882348193689,0.4544330626677413,0.588329064951843,-2.4997505756494154,-1.0253935583503118,-4.40289745879097,-3.1796226330145636,-1.3387105930788192,-3.484100658573386,-3.5554374729304192,-3.1610909895915347,-3.7554439908866324
23,-4.989375554111686,-4.1060918157727375,-0.4849223013486935,0.5051917911547196,1.962559528007673,0.6102666235964651,0.4628098287172541,0.5960073158680814,-2.4991868499642633,-1.0185224102086543,-4.433609703233414,-3.177882495835957,-1.324715772048882,-3.484213980422449,-3.556453793470414,-3.1658397262988904,-3.756129974146841
24,-4.9962149802717155,-4.108943634317226,-0.5050342116359345,0.5094411641910598,1.9538873076676109,0.6046708413977084,0.4479155549214968,0.6020937494763449,-2.511054103335618,-1.0442424019474459,-4.421931234802903,-3.178553473178108,-1.3453026236490653,-3.4828343828292754,-3.5524501838710996,-3.158360204911593,-3.751277402227082
25,-4.9970201910628,-4.109578664079511,-0.4957358384570264,0.5071546419411762,1.9641583058030507,0.6177126297395712,0.4551812172210031,0.5948923760787925,-2.505109577571227,-1.0363908805185564,-4.453961355714431,-3.1736225832189553,-1.3429586561504083,-3.4810432996881278,-3.549524933173071,-3.1576657747949533,-3.7487663416837878
26,-4.990825685078294,-4.103193579875569,-0.4986985356888973,0.49666824708619006,1.9363906651663882,0.5866027564101814,0.47002312536942276,0.594744989524289,-2.5069383045419347,-1.055896225913531,-4.422637406332683,-3.173042960451677,-1.347545626295666,-3.477548149523882,-3.545063904929463,-3.1540869418090622,-3.740340157308949
27,-4.981194106175366,-4.105000570577968,-0.4971652710378583,0.5023998962933675,1.9363019722976542,0.5910552129783252,0.45305478374307373,0.5854358476925361,-2.5061463351130753,-1.0366278339539254,-4.35323680466183,-3.1729736673929283,-1.3446227569092206,-3.4759708832114176,-3.5419059668661497,-3.1503454167369185,-3.7384127690017994
28,-4.9856319663913755,-4.1124286510151045,-0.4975696470815651,0.490229982856657,1.9350983773804784,0.5936618574250592,0.4596713096781282,0.5975588270012372,-2.5093448550422215,-1.0381349325323024,-4.378334237434293,-3.172042716953818,-1.344864018587257,-3.47924835977413,-3.5457515094619314,-3.1552378908166863,-3.7421143587283896
