,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0,0.008414509,0.04201509,0.067550957,0.078842847,0.060513904,0.048365262,0.000687091
1,0.008103155,0.030500851,0.072292751,0.075504931,0.058570303,0.057852439,0.002979724
2,0.010855395,0.013291549,0.066614382,0.076926754,0.05602752,0.055046593,0.003068225
3,0.007010463,0.015325262,0.055712963,0.073919573,0.051560036,0.054677074,0.005487628
4,0.004680989,0.019606023,0.056744308,0.069497032,0.054194792,0.057284549,0.013407987
5,0.008294493,0.028074062,0.058706346,0.064316199,0.052821128,0.051419122,0.022263459
6,0.014376453,0.022102425,0.059368537,0.059983392,0.048959778,0.055573173,0.031374073
7,0.017742257,0.022399197,0.049171852,0.058254109,0.040181035,0.053648569,0.034948043
8,0.021309883,0.035003692,0.048864748,0.056093937,0.040979429,0.057163134,0.037432141
9,0.025929471,0.037383186,0.049755426,0.050868147,0.046409201,0.060621838,0.035982835
10,0.028973944,0.027065149,0.047009212,0.046249533,0.046884023,0.046731417,0.036630209
11,0.032538013,0.029215394,0.043865158,0.040732149,0.049076329,0.047484615,0.038005594
12,0.03840849,0.02144033,0.043330234,0.037146438,0.045414704,0.042176952,0.040213179
13,0.045646089,0.032398154,0.043006235,0.038259637,0.047792579,0.047479119,0.044580554
14,0.044691147,0.0379288,0.035739686,0.036204443,0.053492896,0.048069561,0.047889163
15,0.052622955,0.040609777,0.039616363,0.034576481,0.049764068,0.040317241,0.050684128
16,0.061431755,0.047098336,0.040247789,0.02697321,0.047047298,0.02962553,0.056379425
17,0.067447969,0.065168198,0.030053381,0.022684942,0.045710692,0.033094185,0.064672967
18,0.071190031,0.070397179,0.022914829,0.017457903,0.036303807,0.033661582,0.066172472
19,0.076872911,0.070458536,0.019551556,0.014819441,0.030927454,0.032191516,0.069957089
20,0.085438431,0.075395699,0.016890878,0.010499471,0.021637824,0.018965608,0.072647731
21,0.086884568,0.079067159,0.018800551,0.0033563,0.009530863,0.00738783,0.070529929
22,0.09069208,0.070774558,0.009357235,0.004113532,0.00330099,0.008933717,0.075147636
23,0.09044455,0.067281391,0.004834622,0.002719599,0.002899346,0.012229373,0.078858721
