,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
0,,,,,,,,,,,,,,,,,
1,-3.551678279109326,-2.5176369447277764,-0.14627197866733446,0.9313706103545076,1.831606901457171,0.8822905610447779,0.4927748929288442,0.3991940646184968,-1.7950295921980675,-0.397868153081823,-2.6263898475453424,-2.4349571979710696,-0.5357214225936795,-2.670362432747804,-2.480973822338924,-2.0482208943122724,-2.7268811256821253
2,-3.5557911581161994,-2.521613562513069,-0.14243157590853783,0.9152345660037569,1.8118670603677232,0.862465375125544,0.5103612552012602,0.4107661376942271,-1.799160972100566,-0.4073088376263189,-2.6331542954416425,-2.4538825502441193,-0.5366139228628998,-2.6733947453401683,-2.4840158034153847,-2.0506558032740827,-2.7298127962618355
3,-3.5450620622522866,-2.5193115718392045,-0.14913531040365713,0.8975473075924308,1.8074221273042748,0.8755134602128969,0.512741351015911,0.4206085061589603,-1.7959093314288266,-0.3982986289483133,-2.6170577983167846,-2.437924059328439,-0.5312244080936279,-2.6752375974606717,-2.487596378868438,-2.0568668939355175,-2.7335135720211174
4,-3.556679773501177,-2.520510085890633,-0.1522588191064928,0.916771152116223,1.8123178126171242,0.8567988804015968,0.5066042762272182,0.4259352430944195,-1.8057358381854463,-0.41645917513818265,-2.628876780612307,-2.4476207299923316,-0.5486846723801008,-2.6764087547424587,-2.4871943041196416,-2.0502039072651788,-2.7294555172407056
5,-3.550432477526978,-2.5225530542682835,-0.16200898588722834,0.9074883400013588,1.7998050506772973,0.8407700761686275,0.5127057914941398,0.4202071008825045,-1.811132822395185,-0.4253877730852464,-2.647507860719657,-2.4345189218422774,-0.5540449483044717,-2.678420432843252,-2.4902107945576493,-2.0595708759841953,-2.7300699496052716
6,-3.5621177255372505,-2.516520194535581,-0.1522145293772842,0.9186360999408753,1.8148226753768197,0.8616684603715098,0.5175205878173635,0.417950618931253,-1.8046366738424349,-0.4108163680620001,-2.654497381400343,-2.449326301438739,-0.5481010330918774,-2.6766900775594626,-2.4860481628364948,-2.054610761633511,-2.723972415403828
7,-3.5611331605845487,-2.5143321305941595,-0.1634232910043977,0.9019764859260656,1.7842067278218197,0.8247901207587868,0.5048545493374674,0.4238289027984419,-1.8094309048508548,-0.4252678175769201,-2.6346132368703032,-2.4399811948165993,-0.5604391886078501,-2.6772378240746684,-2.4857273311772716,-2.0458933008050817,-2.7246132513265664
8,-3.5721390298893048,-2.5119603987444514,-0.15506037785630658,0.9172183471737791,1.8069233099644295,0.8512918519749564,0.5024150891029661,0.43401611100303356,-1.8002352819844687,-0.4157764777000283,-2.6294428897097433,-2.447173591897226,-0.5543395173082721,-2.674709494129116,-2.4824565624968375,-2.0532505164046793,-2.723150642838206
9,-3.551525526895349,-2.50734393714844,-0.1516530766741529,0.9398160026334186,1.8368352723629497,0.8883589842191449,0.49716189978524095,0.42502458982581215,-1.784007546202091,-0.412207534296367,-2.617450208899466,-2.4306712556958554,-0.5472131440736118,-2.6704331874849894,-2.4743879308279895,-2.0450311051448007,-2.7162767116131707
10,-3.5509382921465,-2.5063117350847026,-0.15547938898826344,0.9348789087155415,1.83503498846742,0.8817823199200815,0.49879544024013756,0.42107713554391796,-1.7832929993567557,-0.4179849675686876,-2.6497502082197992,-2.436950079493855,-0.5519141679351647,-2.673314041746801,-2.4823243364646284,-2.054411452091172,-2.7237994551863367
11,-3.5567166664737626,-2.507891776812287,-0.1483428918058201,0.9286165602090235,1.8367408557179674,0.8858298032893251,0.5020997434340686,0.421360327528463,-1.7846078528781602,-0.4077185515874873,-2.649704293681532,-2.4383179877097705,-0.5432187762516496,-2.6758817172056384,-2.4818571980679325,-2.0550856697273163,-2.7235268290578207
12,-3.575332961875723,-2.508788612216391,-0.15261583104625426,0.941272242732901,1.821228657835236,0.8705075994003086,0.5077617217370423,0.41245696094123957,-1.78383047437236,-0.41791785875555265,-2.6280005697900046,-2.45808828973315,-0.5498873340462326,-2.6766368615141594,-2.484621163497599,-2.05501660168116,-2.72694005913829
13,-3.5781934284584618,-2.504136144829174,-0.16398960762537618,0.9441980637687981,1.8407176538812708,0.8928037323838742,0.5073021589375891,0.4287027499614266,-1.7842036429901669,-0.42055973303825017,-2.6498252385915078,-2.472585286076829,-0.5522394312401334,-2.6744303341637647,-2.4808027165873385,-2.0549246884719214,-2.7237157309474305
14,-3.57412183305236,-2.5123987376241588,-0.1619956472644881,0.9294544431896559,1.8225653619775566,0.874181810253239,0.5055195837203089,0.4364029615862448,-1.7896069933212875,-0.417515247702978,-2.6376443398146354,-2.466306327558588,-0.5573073332000335,-2.679373194266254,-2.4871826522296128,-2.0609652869169692,-2.729942841244802
15,-3.562320692603438,-2.5198342390075523,-0.17439116816319408,0.9249619660743316,1.820321355405869,0.8711325037019885,0.5094996613729312,0.4335945470752777,-1.7920640664583156,-0.42585842950433717,-2.624555890858128,-2.458212869075875,-0.5557043048985338,-2.682482883385604,-2.492501594389069,-2.065522129366402,-2.7362031563138474
16,-3.5549990485887277,-2.5200074085176802,-0.1650897642407928,0.9168165903148666,1.8171675854301852,0.8880783014013833,0.4960952186436234,0.4342739178983518,-1.7879317807402941,-0.41590648810456127,-2.616714944136033,-2.452588924729684,-0.5572040970513479,-2.683276988654083,-2.4950192573931527,-2.066679705434816,-2.737179216130485
17,-3.5771829200846565,-2.528275455479764,-0.17643941859111484,0.9248811281221526,1.8242150097270884,0.8825577026992895,0.4935704940264269,0.42216439828863755,-1.7892230253910737,-0.4331167540127392,-2.641177975496746,-2.461803283812656,-0.5692488148503171,-2.6843648187661358,-2.494047848020752,-2.0681947961352614,-2.7365170732623847
18,-3.5604945684033398,-2.5244651248233096,-0.17516287572755532,0.9209692812000152,1.8155904317652243,0.8800336633670132,0.48908618734604764,0.42909756509406577,-1.7912279617049873,-0.43096651323727075,-2.633895221580955,-2.4574657814994723,-0.5666147280894258,-2.681483776284345,-2.4854421654605887,-2.0580708156818406,-2.727451036162647
19,-3.5579895171269404,-2.5229168396894806,-0.17507343702223221,0.9191809325289114,1.804469418312259,0.8719470114217062,0.46549834280400504,0.43226738293631856,-1.7935464558830372,-0.4251257969429091,-2.6414347269127254,-2.4561742992632096,-0.5640073235691395,-2.68348773756386,-2.4881386586843752,-2.060211617009021,-2.7294841872995943
20,-3.5760767065773185,-2.524073780044461,-0.17720642214149582,0.9186864545338744,1.8037794052407627,0.8597277067248312,0.4955521082692234,0.4432441096882367,-1.7915105146847157,-0.4428247205505771,-2.6436784865021523,-2.4617386736593345,-0.56546438266968,-2.6832346282713235,-2.48938512528516,-2.0635964597112157,-2.730170374546936
21,-3.557986879703853,-2.526791828118701,-0.17968900326313594,0.9309609688432402,1.8204322717061054,0.8859256203217891,0.496182099474845,0.44644748109294224,-1.777119223610175,-0.42895970788235327,-2.6065715252707053,-2.446094243642124,-0.5685999119816044,-2.675835235054375,-2.4794437048802678,-2.0548208703176023,-2.7188943637685643
22,-3.5618093101416797,-2.5239860426923975,-0.18622712672952602,0.9280227769063119,1.821862749660027,0.8828778449876103,0.4895234616821795,0.42178907718116077,-1.7817199385848954,-0.4289157560610412,-2.610940105980872,-2.4516342399007898,-0.5746687356424521,-2.6769252259439353,-2.475891537411101,-2.0486604373042434,-2.713081462530355
23,-3.5513361944854123,-2.521354769407195,-0.18031169210397707,0.9245466596105602,1.8196195726866637,0.8805401634154225,0.5059446104429762,0.42756751732593096,-1.777484260406524,-0.42761262909974795,-2.633671596689917,-2.4397034431066404,-0.5681286187438199,-2.676281759492376,-2.4747132362667315,-2.0523735276932227,-2.7118250142283924
24,-3.5436342894624224,-2.518629249164579,-0.19154293852713639,0.9145654749552562,1.7958101810772806,0.8609990822521166,0.4852736258095636,0.43387923133282635,-1.7862588879210575,-0.4417615593536262,-2.610835368134368,-2.4357683439775384,-0.5789414739658185,-2.6698584443677893,-2.4670799461386332,-2.0379794578870003,-2.7014749243601104
25,-3.540474244230996,-2.520634913096023,-0.19009277711464126,0.9151995995754865,1.8152014534043752,0.8915344585590262,0.5038119097895005,0.42965978900700835,-1.7817137355305668,-0.43762986382455243,-2.6213299678122266,-2.4266651195342432,-0.5750139158832311,-2.671433264993433,-2.468806900720298,-2.044170285606551,-2.7050908423716127
26,-3.5358067275577687,-2.512493260271506,-0.19123820478259773,0.9031605980150031,1.782473755167968,0.8488576766043017,0.5106077386663677,0.4219771971092833,-1.7812366186899062,-0.45625774382011836,-2.613483880154397,-2.4211767916570808,-0.5730512069285898,-2.6652975294761,-2.459794709878245,-2.037319140508891,-2.6915141311080335
