,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0,0.344771872,0.97831059,1,0.821198548,0.573532865,0.016944019,0.017946783,,,0,0.332339531,0.982810907,0.966854605,0.857288711,0.723340274,0.06429841,0.013955929,,,0,0.027388208,0.064946832,0.07575113,0.066285957,0.05048134,0.006283258,0.001041893
1,0.32148911,1,0.954878317,0.951933318,0.627071766,0.083480826,0.009523831,,,1,0.26479934,0.954662393,0.94399908,0.88923235,0.864832961,0.069799116,0.052400401,,,1,0.021822199,0.063086701,0.073960445,0.068755854,0.060356001,0.006820788,0.003912
2,0.391649976,0.997874544,0.945130083,0.882240852,0.781984873,0.074631596,0,,,2,0.138517823,0.896000891,0.955163957,0.815561187,0.798748178,0.09607873,0.031628443,,,2,0.011415298,0.059210188,0.074835191,0.063059566,0.055743997,0.009388839,0.00236125
3,0.271447166,0.955058496,0.967410022,0.773782125,0.910771593,0.0821372,0.0283531,,,3,0.230359713,0.822419753,0.920834772,0.65017479,0.826970505,0.067192499,0.059238521,,,3,0.018984018,0.054347746,0.072145568,0.050271813,0.057713611,0.006566069,0.004422506
4,0.420178654,0.931727137,0.955539041,0.891807698,0.811070551,0.060620787,0.028891979,,,4,0.201672962,0.82170738,0.878627709,0.664938318,0.867638025,0.048174896,0.166462053,,,4,0.016619934,0.05430067,0.068838729,0.051413336,0.060551764,0.004707664,0.012427377
5,0.258393176,0.982995059,0.973242364,1,0.754513722,0.01579777,0.057457874,,,5,0.442456876,0.781893007,0.823560444,0.735554938,0.712664336,0.072971212,0.301580395,,,5,0.036463014,0.051669627,0.064524318,0.056873446,0.049736274,0.007130766,0.02251476
6,0.242060297,0.938482482,0.881595573,0.876970014,0.854994815,0.061960081,0.06092212,,,6,0.374089829,0.734316038,0.763363801,0.773194972,0.74047337,0.144506408,0.435672423,,,6,0.030828863,0.048525611,0.059808032,0.05978379,0.051677045,0.014121205,0.032525522
7,0.080434998,0.954471171,0.933434451,0.847924916,1,0.108142498,0.034612807,,,7,0.39146563,0.637761427,0.740553557,0.677559877,0.653112395,0.172418976,0.478362363,,,7,0.032260809,0.042145019,0.058020894,0.052389241,0.045580192,0.016848828,0.035712579
8,0.322929574,0.965636114,0.976183968,0.829459123,0.903585715,0.102474446,0.080117222,,,8,0.59917669,0.654986907,0.708318803,0.662477231,0.724700342,0.200397627,0.523308296,,,8,0.049378344,0.043283325,0.055495366,0.051223044,0.050576258,0.019582909,0.039068058
9,0.304632653,0.927839249,0.931714816,0.847586223,0.719773628,0.053053522,0.045110184,,,9,0.604080959,0.71274554,0.650935428,0.657202137,0.80968231,0.252389236,0.479650935,,,9,0.049782507,0.047100174,0.050999493,0.050815171,0.056507081,0.024663543,0.035808778
10,0.310333805,0.952060979,0.988175078,0.855756488,0.785983662,0.081449369,0.060011405,,,10,0.468043144,0.698283131,0.590347864,0.631718739,0.654270009,0.278283601,0.486923348,,,10,0.038571586,0.046144458,0.046252578,0.048844783,0.045660981,0.027193947,0.036351707
11,0.035301711,0.902287601,0.951682728,0.84572805,0.688903464,0.158655551,0.022702288,,,11,0.548776912,0.719390466,0.539880113,0.553286335,0.623378345,0.3292824,0.516195819,,,11,0.045224882,0.047539289,0.04229853,0.042780353,0.043505076,0.032177564,0.03853707
12,0.042320948,0.838253492,0.97080319,0.765645613,0.895494764,0.133006826,0.02132909,,,12,0.457069622,0.677600758,0.49869624,0.536097635,0.584680323,0.386631901,0.548793493,,,12,0.037667255,0.04477771,0.039071856,0.041451315,0.040804372,0.037781772,0.040970679
