ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.027388208,0.064946832,0.07575113,0.066285957,0.05048134,0.006283258,0.001041893
0.021822199,0.063086701,0.073960445,0.068755854,0.060356001,0.006820788,0.003912
0.011415298,0.059210188,0.074835191,0.063059566,0.055743997,0.009388839,0.00236125
0.018984018,0.054347746,0.072145568,0.050271813,0.057713611,0.006566069,0.004422506
0.016619934,0.05430067,0.068838729,0.051413336,0.060551764,0.004707664,0.012427377
0.036463014,0.051669627,0.064524318,0.056873446,0.049736274,0.007130766,0.02251476
0.030828863,0.048525611,0.059808032,0.05978379,0.051677045,0.014121205,0.032525522
0.032260809,0.042145019,0.058020894,0.052389241,0.045580192,0.016848828,0.035712579
0.049378344,0.043283325,0.055495366,0.051223044,0.050576258,0.019582909,0.039068058
0.049782507,0.047100174,0.050999493,0.050815171,0.056507081,0.024663543,0.035808778
0.038571586,0.046144458,0.046252578,0.048844783,0.045660981,0.027193947,0.036351707
0.045224882,0.047539289,0.04229853,0.042780353,0.043505076,0.032177564,0.03853707
0.037667255,0.04477771,0.039071856,0.041451315,0.040804372,0.037781772,0.040970679
0.044197712,0.045991579,0.039223712,0.041949933,0.044919201,0.045538127,0.045592404
0.046729602,0.049507663,0.035964482,0.035258811,0.049044014,0.044620502,0.049277131
0.044203184,0.046556598,0.03431282,0.039172641,0.04464377,0.052900185,0.051515175
0.052271537,0.044061804,0.027822177,0.04010933,0.035188781,0.061847509,0.057917061
0.065307213,0.042722627,0.023861501,0.031093821,0.036042773,0.068253399,0.068198216
0.067448674,0.034388186,0.018371011,0.02542357,0.035600093,0.07273288,0.067889859
0.06251918,0.029585969,0.015440997,0.02217955,0.034248327,0.078541059,0.071047754
0.061334043,0.022382011,0.011720964,0.018891162,0.022220612,0.086945351,0.072751298
0.060173727,0.012338571,0.005556994,0.021697213,0.009474221,0.088984644,0.067983358
0.046704121,0.004035585,0.003670531,0.01192464,0.008003204,0.093371132,0.069993962
0.032704089,0.001352058,0.002052681,0.00835166,0.011721012,0.09299806,0.072179603
