,time_start,time_peak,time_end,nar,xray_class
0,2013-01-03 21:01:00.0,2013-01-03 21:08:00.0,2013-01-03 21:17:00.0,11640,B9.4
1,2010-10-18 13:02:00.0,2010-10-18 13:11:00.0,2010-10-18 13:20:00.0,11112,B4.5
2,2013-10-06 00:16:00.0,2013-10-06 00:51:00.0,2013-10-06 01:03:00.0,11857,B8.7
3,2012-01-09 20:01:00.0,2012-01-09 20:13:00.0,2012-01-09 20:28:00.0,11395,C2.6
4,2021-05-26 07:51:00.0,2021-05-26 08:00:00.0,2021-05-26 08:04:00.0,12826,C1.1
5,2021-06-03 01:57:00.0,2021-06-03 02:05:00.0,2021-06-03 02:09:00.0,12829,B5.7
6,2012-05-11 23:02:00.0,2012-05-11 23:44:00.0,2012-05-12 00:33:00.0,11476,C3.2
7,2013-12-02 14:34:00.0,2013-12-02 14:44:00.0,2013-12-02 15:09:00.0,11913,C2.5
8,2015-06-05 04:42:00.0,2015-06-05 05:06:00.0,2015-06-05 05:18:00.0,12361,C1.3
9,2010-07-12 05:54:00.0,2010-07-12 06:06:00.0,2010-07-12 06:21:00.0,11087,B3.4
10,2018-08-25 08:02:00.0,2018-08-25 08:13:00.0,2018-08-25 08:30:00.0,12720,B2.6
11,2010-05-05 11:37:00.0,2010-05-05 11:52:00.0,2010-05-05 11:58:00.0,11069,C8.8
12,2011-09-29 10:19:00.0,2011-09-29 10:23:00.0,2011-09-29 10:25:00.0,11305,C1.3
13,2017-07-09 07:28:00.0,2017-07-09 07:33:00.0,2017-07-09 07:49:00.0,12665,C1.2
14,2017-07-15 02:22:00.0,2017-07-15 02:26:00.0,2017-07-15 02:32:00.0,12665,B2.7
15,2012-12-17 01:32:00.0,2012-12-17 02:20:00.0,2012-12-17 04:39:00.0,11629,C1.3
16,2016-04-13 07:35:00.0,2016-04-13 07:57:00.0,2016-04-13 08:16:00.0,12529,B8.6
17,2020-08-03 08:34:00.0,2020-08-03 08:39:00.0,2020-08-03 08:46:00.0,12770,B2.2
18,2011-08-15 23:54:00.0,2011-08-16 00:25:00.0,2011-08-16 00:59:00.0,11271,C1.3
19,2011-08-04 00:47:00.0,2011-08-04 01:09:00.0,2011-08-04 01:23:00.0,11261,C1.7
20,2012-03-19 04:37:00.0,2012-03-19 04:41:00.0,2012-03-19 04:44:00.0,11434,B9.8
21,2011-02-19 16:39:00.0,2011-02-19 16:43:00.0,2011-02-19 16:45:00.0,11158,C6.1
22,2015-03-10 17:15:00.0,2015-03-10 17:18:00.0,2015-03-10 17:21:00.0,12297,C1.1
23,2010-10-14 16:58:00.0,2010-10-14 17:03:00.0,2010-10-14 17:08:00.0,11113,B2.1
24,2018-06-01 04:57:00.0,2018-06-01 05:04:00.0,2018-06-01 05:09:00.0,12712,B2.1
25,2010-07-12 11:34:00.0,2010-07-12 11:39:00.0,2010-07-12 11:44:00.0,11087,B2.1
26,2013-12-25 05:49:00.0,2013-12-25 05:56:00.0,2013-12-25 05:59:00.0,11928,C1.4
27,2012-03-10 00:19:00.0,2012-03-10 01:19:00.0,2012-03-10 01:45:00.0,11432,C3.8
28,2015-04-29 16:20:00.0,2015-04-29 16:34:00.0,2015-04-29 16:52:00.0,12327,C1.0
