,time_start,time_peak,time_end,nar,xray_class,is_coincident
0,2013-10-20 22:51:00,2013-10-20 22:57:00,2013-10-20 23:01:00,11875,C,True
1,2013-10-21 08:09:00,2013-10-21 08:13:00,2013-10-21 08:17:00,11875,C,True
2,2013-10-21 15:40:00,2013-10-21 16:10:00,2013-10-21 16:16:00,11875,C,True
3,2013-10-21 20:29:00,2013-10-21 20:34:00,2013-10-21 20:46:00,11875,C,True
4,2013-10-21 20:56:00,2013-10-21 21:00:00,2013-10-21 21:07:00,11875,C,True
5,2013-10-21 22:31:00,2013-10-21 22:46:00,2013-10-21 22:58:00,11875,C,True
6,2013-10-21 23:02:00,2013-10-21 23:11:00,2013-10-21 23:15:00,11875,C,True
7,2013-10-22 00:14:00,2013-10-22 00:22:00,2013-10-22 00:28:00,11875,M,True
8,2013-10-22 01:31:00,2013-10-22 01:35:00,2013-10-22 01:41:00,11875,C,True
9,2013-10-22 01:59:00,2013-10-22 02:03:00,2013-10-22 02:07:00,11875,C,True
10,2013-10-22 03:31:00,2013-10-22 03:37:00,2013-10-22 03:45:00,11875,C,True
11,2013-10-22 04:12:00,2013-10-22 04:21:00,2013-10-22 04:25:00,11875,C,True
12,2013-10-22 04:40:00,2013-10-22 04:44:00,2013-10-22 04:46:00,11875,C,True
13,2013-10-22 09:09:00,2013-10-22 09:14:00,2013-10-22 09:18:00,11875,C,True
14,2013-10-22 11:08:00,2013-10-22 11:14:00,2013-10-22 11:32:00,11875,C,True
15,2013-10-22 12:55:00,2013-10-22 12:58:00,2013-10-22 13:01:00,11875,C,True
16,2013-10-22 13:25:00,2013-10-22 13:30:00,2013-10-22 13:36:00,11875,C,True
17,2013-10-22 14:49:00,2013-10-22 15:20:00,2013-10-22 15:28:00,11875,M,True
18,2013-10-22 18:30:00,2013-10-22 18:37:00,2013-10-22 18:49:00,11875,C,True
19,2013-10-22 21:15:00,2013-10-22 21:20:00,2013-10-22 21:22:00,11875,M,True
20,2013-10-23 04:50:00,2013-10-23 05:12:00,2013-10-23 05:28:00,11875,C,True
21,2013-10-23 06:00:00,2013-10-23 06:04:00,2013-10-23 06:08:00,11875,C,True
22,2013-10-23 11:11:00,2013-10-23 11:17:00,2013-10-23 11:21:00,11875,C,True
23,2013-10-23 15:38:00,2013-10-23 15:43:00,2013-10-23 15:59:00,11875,C,True
24,2013-10-23 17:04:00,2013-10-23 17:20:00,2013-10-23 17:31:00,11875,C,True
25,2013-10-23 19:26:00,2013-10-23 19:30:00,2013-10-23 19:39:00,11875,C,True
26,2013-10-23 20:41:00,2013-10-23 20:53:00,2013-10-23 20:59:00,11875,M,True
27,2013-10-23 21:57:00,2013-10-23 22:04:00,2013-10-23 22:13:00,11875,C,True
28,2013-10-23 23:33:00,2013-10-23 23:43:00,2013-10-23 23:47:00,11875,M,True
29,2013-10-23 23:58:00,2013-10-24 00:08:00,2013-10-24 00:16:00,11875,M,True
30,2013-10-24 03:37:00,2013-10-24 03:43:00,2013-10-24 03:50:00,11875,C,True
31,2013-10-24 04:12:00,2013-10-24 04:15:00,2013-10-24 04:18:00,11875,C,True
32,2013-10-24 04:52:00,2013-10-24 05:07:00,2013-10-24 05:13:00,11875,C,True
33,2013-10-24 05:22:00,2013-10-24 05:27:00,2013-10-24 05:32:00,11875,C,True
34,2013-10-24 05:53:00,2013-10-24 05:59:00,2013-10-24 06:03:00,11875,C,True
35,2013-10-24 09:59:00,2013-10-24 10:09:00,2013-10-24 10:17:00,11875,M,True
36,2013-10-24 10:30:00,2013-10-24 10:33:00,2013-10-24 10:37:00,11875,M,True
37,2013-10-24 12:58:00,2013-10-24 13:12:00,2013-10-24 13:19:00,11875,C,True
38,2013-10-24 21:09:00,2013-10-24 21:14:00,2013-10-24 21:22:00,11875,C,True
39,2013-10-25 06:10:00,2013-10-25 06:27:00,2013-10-25 06:30:00,11875,C,True
40,2013-10-27 12:36:00,2013-10-27 12:48:00,2013-10-27 12:52:00,11875,M,True
41,2013-10-28 01:41:00,2013-10-28 02:03:00,2013-10-28 02:12:00,11875,X,True
42,2013-10-28 04:32:00,2013-10-28 04:41:00,2013-10-28 04:46:00,11875,M,True
43,2013-10-28 14:00:00,2013-10-28 14:05:00,2013-10-28 14:12:00,11875,M,True
44,2013-10-28 20:48:00,2013-10-28 20:57:00,2013-10-28 21:02:00,11875,M,True
45,2013-10-29 21:42:00,2013-10-29 21:54:00,2013-10-29 22:01:00,11875,X,True
46,2013-04-21 14:16:00,2013-04-21 14:20:00,2013-04-21 14:23:00,11726,C,True
47,2013-04-21 16:00:00,2013-04-21 16:03:00,2013-04-21 16:06:00,11726,C,True
48,2013-04-21 18:35:00,2013-04-21 18:39:00,2013-04-21 18:42:00,11726,C,True
49,2013-04-21 23:46:00,2013-04-21 23:50:00,2013-04-21 23:54:00,11726,B,True
50,2013-04-22 00:54:00,2013-04-22 00:58:00,2013-04-22 01:01:00,11726,B,True
51,2013-04-22 02:33:00,2013-04-22 02:37:00,2013-04-22 02:47:00,11726,B,True
52,2013-04-22 06:06:00,2013-04-22 06:14:00,2013-04-22 06:17:00,11726,B,True
53,2013-04-22 10:22:00,2013-04-22 10:29:00,2013-04-22 10:31:00,11726,M,True
54,2013-04-22 22:47:00,2013-04-22 22:48:00,2013-04-22 22:50:00,11726,C,True
55,2013-04-23 04:19:00,2013-04-23 04:21:00,2013-04-23 04:23:00,11726,C,True
56,2013-04-23 13:08:00,2013-04-23 13:11:00,2013-04-23 13:13:00,11726,B,True
57,2013-04-23 13:18:00,2013-04-23 13:21:00,2013-04-23 13:24:00,11726,B,True
58,2013-04-23 14:05:00,2013-04-23 14:14:00,2013-04-23 14:16:00,11726,C,True
59,2013-04-23 14:58:00,2013-04-23 14:59:00,2013-04-23 15:00:00,11726,C,True
60,2013-04-23 15:04:00,2013-04-23 15:07:00,2013-04-23 15:09:00,11726,C,True
61,2013-04-23 15:15:00,2013-04-23 15:18:00,2013-04-23 15:20:00,11726,C,True
62,2013-04-23 19:29:00,2013-04-23 19:34:00,2013-04-23 19:39:00,11726,C,True
63,2013-04-23 23:09:00,2013-04-23 23:13:00,2013-04-23 23:17:00,11726,C,True
64,2013-04-23 23:21:00,2013-04-23 23:25:00,2013-04-23 23:28:00,11726,C,True
65,2013-04-24 00:17:00,2013-04-24 00:21:00,2013-04-24 00:23:00,11726,C,True
66,2013-04-24 03:23:00,2013-04-24 03:28:00,2013-04-24 03:33:00,11726,C,True
67,2013-04-24 22:39:00,2013-04-24 22:55:00,2013-04-24 23:26:00,11726,C,True
68,2013-04-25 00:12:00,2013-04-25 00:21:00,2013-04-25 00:37:00,11726,C,True
69,2013-04-25 03:30:00,2013-04-25 03:41:00,2013-04-25 03:51:00,11726,C,True
70,2013-04-25 10:43:00,2013-04-25 10:52:00,2013-04-25 11:10:00,11726,C,True
71,2013-04-25 14:23:00,2013-04-25 14:35:00,2013-04-25 14:48:00,11726,C,True
72,2013-04-25 16:12:00,2013-04-25 16:24:00,2013-04-25 16:33:00,11726,C,True
73,2013-04-25 17:24:00,2013-04-25 17:28:00,2013-04-25 17:32:00,11726,C,True
74,2013-04-25 19:34:00,2013-04-25 19:40:00,2013-04-25 19:43:00,11726,C,True
75,2013-04-25 21:55:00,2013-04-25 22:02:00,2013-04-25 22:06:00,11726,C,True
76,2013-10-10 07:01:00,2013-10-10 07:08:00,2013-10-10 07:11:00,11861,C,True
77,2013-10-10 10:57:00,2013-10-10 11:01:00,2013-10-10 11:04:00,11861,C,True
78,2013-10-10 15:41:00,2013-10-10 15:45:00,2013-10-10 15:47:00,11861,B,True
79,2013-10-10 16:20:00,2013-10-10 16:23:00,2013-10-10 16:25:00,11861,C,True
80,2013-10-10 16:40:00,2013-10-10 16:44:00,2013-10-10 16:48:00,11861,C,True
81,2013-10-10 19:33:00,2013-10-10 19:38:00,2013-10-10 19:56:00,11861,C,True
82,2013-10-10 23:59:00,2013-10-11 00:09:00,2013-10-11 00:28:00,11861,C,True
83,2013-10-11 03:21:00,2013-10-11 03:27:00,2013-10-11 03:36:00,11861,C,True
84,2013-10-11 03:59:00,2013-10-11 04:10:00,2013-10-11 04:19:00,11861,C,True
85,2013-10-11 05:44:00,2013-10-11 05:49:00,2013-10-11 05:54:00,11861,C,True
86,2013-10-11 08:22:00,2013-10-11 09:18:00,2013-10-11 09:29:00,11861,C,True
87,2013-10-11 14:30:00,2013-10-11 14:54:00,2013-10-11 15:05:00,11861,C,True
88,2013-10-11 16:53:00,2013-10-11 16:57:00,2013-10-11 16:59:00,11861,C,True
89,2013-10-11 18:39:00,2013-10-11 18:45:00,2013-10-11 18:47:00,11861,C,True
90,2013-10-11 20:11:00,2013-10-11 20:14:00,2013-10-11 20:16:00,11861,C,True
91,2013-10-11 21:57:00,2013-10-11 22:03:00,2013-10-11 22:18:00,11861,C,True
92,2013-10-11 22:56:00,2013-10-11 23:07:00,2013-10-11 23:19:00,11861,C,True
93,2013-10-12 00:46:00,2013-10-12 00:51:00,2013-10-12 01:02:00,11861,C,True
94,2013-10-12 01:54:00,2013-10-12 02:00:00,2013-10-12 02:03:00,11861,C,True
95,2013-10-12 03:37:00,2013-10-12 03:47:00,2013-10-12 03:59:00,11861,C,True
96,2013-10-12 06:24:00,2013-10-12 06:28:00,2013-10-12 06:37:00,11861,C,True
97,2013-10-12 08:12:00,2013-10-12 08:16:00,2013-10-12 08:20:00,11861,C,True
98,2013-10-12 11:02:00,2013-10-12 12:14:00,2013-10-12 12:28:00,11861,C,True
99,2013-10-17 15:09:00,2013-10-17 15:41:00,2013-10-17 15:58:00,11861,M,True
100,2013-01-10 03:19:00,2013-01-10 03:26:00,2013-01-10 03:32:00,11654,C,True
101,2013-01-10 04:01:00,2013-01-10 04:04:00,2013-01-10 04:08:00,11654,C,True
102,2013-01-10 09:24:00,2013-01-10 09:33:00,2013-01-10 09:43:00,11654,C,True
103,2013-01-10 12:15:00,2013-01-10 12:29:00,2013-01-10 12:45:00,11654,C,True
104,2013-01-10 15:59:00,2013-01-10 16:05:00,2013-01-10 16:18:00,11654,C,True
105,2013-01-10 17:33:00,2013-01-10 17:46:00,2013-01-10 17:57:00,11654,C,True
106,2013-01-10 19:45:00,2013-01-10 19:55:00,2013-01-10 20:18:00,11654,C,True
