6h-12h_median_classification_summary
,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.48333333333333334,0.48333333333333334,0.5583333333333333,0.5125,0.42083333333333334,0.65,0.5375,0.7583333333333333,0.5,0.5875,0.5583333333333333,0.6583333333333333,0.6416666666666667,0.6041666666666666,0.42916666666666664,0.48333333333333334,0.20416666666666666
MX Recall (Coincident),0.5159817351598174,0.6621004566210046,0.5068493150684932,0.4931506849315068,0.4840182648401826,0.5616438356164384,0.5205479452054794,0.4155251141552511,0.6529680365296804,0.5342465753424658,0.771689497716895,0.5068493150684932,0.589041095890411,0.5707762557077626,0.6712328767123288,0.6529680365296804,0.6164383561643836,0.4200913242009132,0.5114155251141552,0.1963470319634703
MX Recall (Noncoincident),0.23809523809523808,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.23809523809523808,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.2778864970645793,0.23352902804957604,0.07827788649706463,0.11219830397912589,0.007827788649706457,0.08545335942596222,0.09197651663405088,-0.10828440965427272,0.08153946510110899,0.010437051532941943,0.24787997390737115,0.2687540769732551,0.017612524461839585,0.2850619699934769,0.33789954337899547,0.27201565557729945,0.23548597521200265,-0.056099151989562945,0.41617742987606,-0.18460534898891062
""
TSS (All),0.12012372611765298,0.07131105030670448,0.008010457362747081,-0.04318228782287825,-0.07257586196567112,-0.02801932367149762,-0.01692970294108964,-0.07681657848324519,0.12586500616812546,0.04180382797620441,0.09962151932954844,0.07688056792027742,0.06459886826378969,0.09535906146075646,0.08787311770471351,0.060264206332564574,0.06506145429061083,-0.043872701822074256,0.11284412470023986,-0.12589089912280693
TSS (Coincident),0.11882724344158613,0.07998288403936671,0.00992966069450385,-0.03218825343473253,-0.06945778997940966,-0.02581373943603049,-0.005622625580413709,-0.08199848987406622,0.12441207860723646,0.038611859838274865,0.10508441828666548,0.08035947268988697,0.07082255979314811,0.10157250701768727,0.09806122448979593,0.06894303363074805,0.07457760950770875,-0.043690778791592,0.13147221279127919,-0.1288814578498888
TSS (Noncoincident),0.17051282051282046,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.1539007092198582,-0.09097127222982215,-0.19144460028050492,-0.023809523809523836,0.24489795918367352,0.10606060606060608,0.1539007092198582,0.07526881720430112,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,0.005028735632183867,-0.04729729729729726,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.051685577071234334,0.05052986861159681,0.024293545783423243,0.1338009064568665,0.08444291924044856,0.06515753279379166,0.1858219747000912,-0.05818896606454238,-0.12048588057643705,-0.06744874622233121,-0.04881629093319273,0.005090655485585849,-0.05774886877828045,0.04440372298864914,0.13377551020408163,0.07887211164493235,0.06954887387552489,0.0036065185057052584,0.1568345316318589,-0.047929076897507805
""
HSS1 (All),0.6780354706684857,0.6686159844054581,0.5966101694915255,0.5424354243542435,0.5059760956175299,0.5555555555555556,0.5706422018348624,0.5097001763668431,0.7137989778534923,0.6293823038397329,0.7177615571776156,0.6516690856313497,0.6544502617801047,0.6733436055469953,0.685823754789272,0.6573705179282868,0.6570397111913358,0.5463576158940397,0.6693333333333333,0.5026041666666666
HSS1 (Coincident),0.6877761413843888,0.6884210526315789,0.6079854809437386,0.5638506876227898,0.5191489361702127,0.5675675675675675,0.5922330097087378,0.5133079847908745,0.7221206581352834,0.6357142857142857,0.7354497354497355,0.6640746500777605,0.6691176470588235,0.6887417218543046,0.7061224489795919,0.676595744680851,0.6763005780346821,0.5567190226876091,0.6929698708751794,0.5104311543810849
HSS1 (Noncoincident),0.5076923076923077,0.4782608695652174,0.4418604651162791,0.2777777777777778,0.26666666666666666,0.35294117647058826,0.22580645161290322,0.42857142857142855,0.6326530612244898,0.5454545454545454,0.574468085106383,0.4838709677419355,0.5714285714285714,0.4827586206896552,0.42857142857142855,0.44680851063829785,0.4583333333333333,0.40540540540540543,0.4492753623188406,0.38095238095238093
HSS1 Difference (Coincident - Noncoincident),0.18008383369208114,0.21016018306636153,0.16612501582745953,0.286072909845012,0.2524822695035461,0.21462639109697929,0.3664265580958346,0.08473655621944592,0.08946759691079353,0.09025974025974026,0.16098165034335243,0.18020368233582496,0.09768907563025209,0.2059831011646494,0.2775510204081633,0.2297872340425532,0.21796724470134882,0.15131361728220366,0.24369450855633878,0.12947877342870395
""
HSS2 (All),-0.40808692772783556,2.954291472016122,-55.601719197708015,5.740552432168173,3.473665815297755,2.622414345180916,5.799843219231778,13.219281045751663,-238.54482758621882,-14.108533419857185,1.5447070025101706,-1.0339725227608605,13.613540197461202,-1.9275218242256664,3.152764857881138,2.715606936416185,5.988426691356385,-12.361220244973387,-0.3287871407696055,-0.8479612992398069
HSS2 (Coincident),-0.5231785960027526,2.538203492377272,33.856578427499024,4.981278021382473,3.210935836090247,2.4362793216667225,5.31353892651256,8.159965461576006,14.541753896254937,-51.77847891066071,1.4636641114657842,-1.187971515194246,13.23083088431737,-2.45281292539778,2.839269307679836,2.487001093299635,4.820299500831945,-12.448856799037312,-0.34353195980863865,-0.9157740823691876
HSS2 (Noncoincident),0.21461187214611874,-0.27416798732171155,-0.5770020533880903,-2.983870967741935,17.999999999999968,-4.550458715596334,-622.9999999999734,-2.8095238095238093,0.19642857142857137,-0.21722846441947577,0.001468428781204195,0.14377820760799484,-0.2857142857142857,0.0863531225905937,-0.25000000000000006,-0.29809104258443453,-0.22540983606557366,-1.8230088495575212,0.15929203539823014,-0.8571428571428571
HSS2 Difference (Coincident - Noncoincident),-0.7377904681488714,2.8123714796989834,34.433580480887116,7.965148989124408,-14.789064163909721,6.9867380372630565,628.313538926486,10.969489271099814,14.345325324826366,-51.56125044624123,1.4621956826845801,-1.3317497228022408,13.516545170031657,-2.5391660479883735,3.089269307679836,2.7850921358840695,5.045709336897519,-10.625847949479791,-0.5028239952068688,-0.05863122522633046
""
GS (All),-0.2404311965229149,-0.5349913608042307,-0.48560311284046687,-0.5495667526483182,-0.587869807433034,-0.5902265463244013,-0.5384076990376201,-0.5385070505867273,-0.4390096866565279,-0.46209392000861804,-0.5809835612016694,-0.32968618996286964,-0.4812702373525828,-0.375404939472205,-0.5215185076009601,-0.5472803990331548,-0.5005270048001075,-0.4902575508417428,-0.21871741397288835,-0.31401804302567676
GS (Coincident),-0.2687829836642337,-0.5593895210755666,-0.5067777984659141,-0.565608693570779,-0.6083147807569453,-0.6132147784761611,-0.5512118258973409,-0.5649455277534088,-0.4645271423694094,-0.48473207577893973,-0.6048168849360149,-0.34836970881995444,-0.49118221872723267,-0.39667898743430896,-0.5394111589473815,-0.5672423934548957,-0.5183923463150022,-0.5006332959191028,-0.23080332870436118,-0.32856335906608913
GS (Noncoincident),0.22492163009404398,-0.15050505050505053,-0.21810699588477367,-0.36776212832550875,-0.40932642487046617,-0.35878719820325655,-0.4155555555555556,-0.3225806451612903,0.031007751937984388,-0.13910186199342828,-0.0624999999999999,0.13817891373801913,-0.15662650602409647,0.06310885218127915,-0.13636363636363646,-0.15533980582524262,-0.1316931982633865,-0.3109151047409041,0.22037422037422044,-0.2631578947368422
