,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.49166666666666664,0.48333333333333334,0.5625,0.5166666666666667,0.42083333333333334,0.65,0.5333333333333333,0.75,0.5,0.5875,0.5583333333333333,0.6583333333333333,0.6416666666666667,0.6,0.42916666666666664,0.4791666666666667,0.2125
MX Recall (Coincident),0.5296803652968036,0.6666666666666666,0.5114155251141552,0.502283105022831,0.4840182648401826,0.5707762557077626,0.5251141552511416,0.4155251141552511,0.6575342465753424,0.5342465753424658,0.771689497716895,0.5205479452054794,0.589041095890411,0.5844748858447488,0.6894977168949772,0.6666666666666666,0.6210045662100456,0.4246575342465753,0.5159817351598174,0.1963470319634703
MX Recall (Noncoincident),0.2857142857142857,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.24396607958251793,0.23809523809523808,0.08284409654272668,0.12133072407045009,0.007827788649706457,0.09458577951728642,0.09654272667971303,-0.060665362035225046,0.08610567514677103,0.010437051532941943,0.24787997390737115,0.23483365949119372,0.017612524461839585,0.2987606001304631,0.35616438356164387,0.2857142857142857,0.2400521852576647,-0.051532941943900845,0.42074363992172215,-0.18460534898891062
""
True Skill Score (All),0.12012372611765298,0.07199635325733966,0.008010457362747081,-0.03916643518655327,-0.07712369597615498,-0.025965926376635196,-0.016334677824168975,-0.07752979427691187,0.12657290895632856,0.04121237782717613,0.10075166967165239,0.07688056792027742,0.0681085177504539,0.09535906146075646,0.08855385200052246,0.06164260576025282,0.06371368867174854,-0.045273865874812524,0.11088502947962064,-0.12210557013706624
True Skill Score (Coincident),0.12157330578130943,0.07874378211998789,0.01064907868467213,-0.030056644171612912,-0.07182555913398259,-0.01976844869001737,-0.005645706558485508,-0.07900943396226412,0.12219644498617799,0.03787028895424638,0.10440065327137926,0.08035686573392331,0.06494153779837275,0.10253671471538683,0.10166995451805572,0.07091029137758786,0.07173766058147402,-0.045133924958864924,0.12244362024742705,-0.1282282282282282
True Skill Score (Noncoincident),0.22716346153846156,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.17097701149425282,-0.10606060606060608,-0.19144460028050492,-0.06165311653116534,0.24489795918367352,0.10606060606060608,0.1539007092198582,0.1029411764705882,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,-0.0099290780141843,-0.06165311653116534,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.10559015575715214,0.04929076669221799,0.025012963773591523,0.1359325157199861,0.09915145236027023,0.0862921573705887,0.1857988937220194,-0.017356317431098778,-0.12270151419749553,-0.0681903171063597,-0.04950005594847895,-0.022584310736664892,-0.06362989077305581,0.0453679306863487,0.13738424023234141,0.08083936939177216,0.08166673859565832,0.016519191572300418,0.14780593908800677,-0.047275847275847216
""
Odds Ratio Skill Score (All),-73632,-84660,-108528,-124684,-137640,-116970,-116464,-139000,-71064,-97664,-67560,-85920,-88704,-81408,-79704,-87548,-89472,-126588,-75000,-133812
Odds Ratio Skill Score (Coincident),-62830,-69496,-92234,-104204,-116842,-98324,-96720,-120064,-61050,-84456,-54400,-72870,-76500,-67522,-63240,-71102,-73704,-108612,-62328,-115104
Odds Ratio Skill Score (Noncoincident),-210,-528,-600,-858,-836,-748,-888,-682,-288,-440,-380,-330,-414,-390,-588,-572,-572,-682,-228,-702
ORSS Difference (Coincident - Noncoincident),-62620.0,-68968.0,-91634.0,-103346.0,-116006.0,-97576.0,-95832.0,-119382.0,-60762.0,-84016.0,-54020.0,-72540.0,-76086.0,-67132.0,-62652.0,-70530.0,-73132.0,-107930.0,-62100.0,-114402.0
""
Symmetric Extremal Dependence Index (All),0.19770778782197956,0.12241081188892455,0.01353114637415588,-0.0659873803001628,-0.12897796547882986,-0.043691424193171714,-0.027567018979685925,-0.13061220134883061,0.2131946319312072,0.06952618211265775,0.1741953489582566,0.12834017571737114,0.11504112941859124,0.15950075280276282,0.15059653682426447,0.1048081354165859,0.107826453877696,-0.07654876121033075,0.18241419067773068,-0.21316298093868233
Symmetric Extremal Dependence Index (Coincident),0.20197877478529727,0.13529770306068617,0.018130194840493736,-0.05106646441095456,-0.12116721079532147,-0.03355079177024408,-0.009609362919251147,-0.1341722578914692,0.20796841384982614,0.06441330951959545,0.18305081655989092,0.13530205993458952,0.11061510651873505,0.1730857423102704,0.17498283561133005,0.12188514644020447,0.1225549653700861,-0.07693976041742584,0.20289629789501035,-0.22706535311493542
Symmetric Extremal Dependence Index (Noncoincident),0.3310540557892404,0.045768343701627315,-0.02239748389310622,-0.25514614586864126,-0.25935361362663417,-0.16359686875509102,-0.2902153350304556,-0.09578433124307274,0.36434890123484154,0.16359686875509102,0.2346238593260886,0.15630460632064197,0.198262462506774,0.08793253380280859,-0.05587181494217892,-0.015486378808771625,-0.015486378808771625,-0.09578433124307274,-0.03987800694806162,-0.12629170841899978
SEDI Difference (Coincident - Noncoincident),-0.12907528100394314,0.08952935935905885,0.040527678733599956,0.2040796814576867,0.1381864028313127,0.13004607698484694,0.28060597211120447,-0.03838792664839645,-0.1563804873850154,-0.09918355923549557,-0.051573042766197674,-0.02100254638605245,-0.08764735598803897,0.08515320850746182,0.23085465055350896,0.13737152524897608,0.13804134417885772,0.018844570825646903,0.24277430484307197,-0.10077364469593564
