,time_start,time_peak,time_end,nar,xray_class,is_coincident
48,2014-04-13 07:28:00,2014-04-13 07:32:00,2014-04-13 07:36:00,12035,B,False
73,2014-06-23 07:23:00,2014-06-23 07:33:00,2014-06-23 07:39:00,12087,B,False
130,2014-04-05 13:56:00,2014-04-05 14:05:00,2014-04-05 14:10:00,12026,B,False
131,2014-04-08 18:36:00,2014-04-08 18:51:00,2014-04-08 19:21:00,12026,B,False
148,2014-01-22 17:39:00,2014-01-22 17:43:00,2014-01-22 17:46:00,11959,B,False
149,2014-04-01 04:45:00,2014-04-01 04:48:00,2014-04-01 04:50:00,12014,B,False
193,2014-08-18 02:00:00,2014-08-18 02:03:00,2014-08-18 02:07:00,12146,B,False
194,2014-08-21 08:41:00,2014-08-21 08:55:00,2014-08-21 09:01:00,12146,B,False
266,2014-08-28 16:22:00,2014-08-28 16:23:00,2014-08-28 16:24:00,12152,B,False
366,2014-08-11 04:13:00,2014-08-11 04:16:00,2014-08-11 04:19:00,12139,B,False
367,2014-08-12 06:38:00,2014-08-12 06:41:00,2014-08-12 06:43:00,12139,B,False
368,2014-08-17 00:10:00,2014-08-17 00:20:00,2014-08-17 00:32:00,12139,B,False
456,2014-04-06 14:17:00,2014-04-06 14:32:00,2014-04-06 14:41:00,12030,B,False
501,2014-07-16 22:24:00,2014-07-16 23:00:00,2014-07-16 23:24:00,12113,B,False
502,2014-07-18 17:52:00,2014-07-18 17:56:00,2014-07-18 17:58:00,12113,B,False
503,2014-12-28 07:31:00,2014-12-28 07:34:00,2014-12-28 07:37:00,12249,B,False
563,2014-04-30 14:45:00,2014-04-30 14:49:00,2014-04-30 14:51:00,12047,B,False
564,2014-08-18 09:22:00,2014-08-18 09:25:00,2014-08-18 09:27:00,12144,B,False
605,2014-07-21 18:41:00,2014-07-21 18:48:00,2014-07-21 18:51:00,12121,B,False
606,2014-07-28 23:04:00,2014-07-28 23:07:00,2014-07-28 23:10:00,12121,B,False
