6h-18h_mean_classification_summary
,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.49166666666666664,0.48333333333333334,0.5625,0.5166666666666667,0.42083333333333334,0.65,0.5333333333333333,0.75,0.5,0.5875,0.5583333333333333,0.6583333333333333,0.6416666666666667,0.6,0.42916666666666664,0.4791666666666667,0.2125
MX Recall (Coincident),0.5159817351598174,0.6621004566210046,0.5068493150684932,0.4931506849315068,0.4840182648401826,0.5707762557077626,0.5251141552511416,0.4155251141552511,0.6484018264840182,0.5296803652968036,0.771689497716895,0.5068493150684932,0.589041095890411,0.5707762557077626,0.6666666666666666,0.6529680365296804,0.6164383561643836,0.4200913242009132,0.5114155251141552,0.2054794520547945
MX Recall (Noncoincident),0.23809523809523808,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.47619047619047616,0.23809523809523808,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.2778864970645793,0.23352902804957604,0.07827788649706463,0.11219830397912589,0.007827788649706457,0.09458577951728642,0.09654272667971303,-0.10828440965427272,0.07697325505544683,0.005870841487279788,0.2954990215264188,0.2687540769732551,0.017612524461839585,0.2850619699934769,0.3333333333333333,0.27201565557729945,0.23548597521200265,-0.056099151989562945,0.41617742987606,-0.17547292889758642
""
TSS (All),0.12012372611765298,0.07199635325733966,0.008010457362747081,-0.03916643518655327,-0.07712369597615498,-0.025965926376635196,-0.016334677824168975,-0.07752979427691187,0.12657290895632856,0.04121237782717613,0.10075166967165239,0.07688056792027742,0.0681085177504539,0.09535906146075646,0.08855385200052246,0.06164260576025282,0.06371368867174854,-0.045273865874812524,0.11088502947962064,-0.12210557013706624
TSS (Coincident),0.11882724344158613,0.08069416691758136,0.00992966069450385,-0.03443608208349125,-0.07261747551447129,-0.01976844869001737,-0.0041630622837369735,-0.08274757690686896,0.1237049183639799,0.036422948344656536,0.11187476135929741,0.08035947268988697,0.07155963302752288,0.10157250701768727,0.09506339486380899,0.06894303363074805,0.07457760950770875,-0.045883940620782715,0.13147221279127919,-0.12401662792776691
TSS (Noncoincident),0.17051282051282046,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.17097701149425282,-0.09097127222982215,-0.19144460028050492,-0.023809523809523836,0.24489795918367352,0.10606060606060608,0.11566091954022995,0.07526881720430112,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,0.005028735632183867,-0.04729729729729726,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.051685577071234334,0.051241151489811454,0.024293545783423243,0.13155307780810777,0.09835953597978153,0.07120282353980478,0.18728153799676794,-0.05893805309734512,-0.12119304081969362,-0.06963765771594954,-0.0037861581809325306,0.005090655485585849,-0.057011795543905674,0.04440372298864914,0.1307776805780947,0.07887211164493235,0.06954887387552489,0.0014133566765145433,0.1568345316318589,-0.04306424697538591
""
HSS1 (All),0.6780354706684857,0.669260700389105,0.5966101694915255,0.5464684014869888,0.5,0.5578947368421052,0.5711645101663586,0.508833922261484,0.7142857142857143,0.6285240464344942,0.7169811320754716,0.6516690856313497,0.657439446366782,0.6733436055469953,0.6864244741873805,0.6587301587301587,0.6552962298025135,0.5448504983388704,0.6675531914893617,0.5039370078740157
HSS1 (Coincident),0.6877761413843888,0.6890756302521008,0.6079854809437386,0.5612648221343873,0.5150214592274678,0.5746606334841629,0.59375,0.5123809523809524,0.720508166969147,0.6334519572953736,0.7422680412371134,0.6640746500777605,0.6697247706422018,0.6887417218543046,0.7026476578411406,0.676595744680851,0.6763005780346821,0.5543859649122806,0.6929698708751794,0.5126050420168067
HSS1 (Noncoincident),0.5076923076923077,0.4782608695652174,0.4418604651162791,0.2777777777777778,0.2413793103448276,0.35294117647058826,0.22580645161290322,0.42857142857142855,0.6326530612244898,0.5454545454545454,0.5416666666666666,0.4838709677419355,0.5714285714285714,0.4827586206896552,0.42857142857142855,0.44680851063829785,0.4583333333333333,0.40540540540540543,0.4492753623188406,0.38095238095238093
HSS1 Difference (Coincident - Noncoincident),0.18008383369208114,0.21081476068688343,0.16612501582745953,0.28348704435660954,0.27364214888264016,0.2217194570135746,0.36794354838709675,0.08380952380952383,0.08785510574465716,0.08799741184082821,0.2006013745704468,0.18020368233582496,0.09829619921363042,0.2059831011646494,0.27407622926971204,0.2297872340425532,0.21796724470134882,0.14898055950687522,0.24369450855633878,0.13165266106442575
""
HSS2 (All),-0.40808692772783556,2.9816950619956106,-55.601719197708015,5.275302914283143,3.306510311362718,2.577537297751629,5.336189154262189,12.618168619724146,-88.86046511628145,-10.57910228108901,1.6107057452940094,-1.0339725227608605,21.139766227306563,-1.9275218242256664,3.1871635321261267,2.7579953841081433,6.558445332364693,-14.06910516002608,-0.32365499573014517,-0.889717108217333
HSS2 (Coincident),-0.5231785960027526,2.557611641958296,33.856578427499024,4.743284415191755,3.1115157466890344,2.3811699065275134,4.9831294370366495,7.932518017034296,24.425523508494674,-32.33043298114773,1.492546881212623,-1.187971515194246,14.281823449874455,-2.45281292539778,2.893610025209164,2.487001093299635,4.820299500831945,-15.465861473995584,-0.34353195980863865,-0.9529747189490589
HSS2 (Noncoincident),0.21461187214611874,-0.27416798732171155,-0.5770020533880903,-2.983870967741935,9.333333333333332,-4.550458715596334,-622.9999999999734,-2.8095238095238093,0.19642857142857137,-0.21722846441947577,-0.03688524590163925,0.14377820760799484,-0.2857142857142857,0.0863531225905937,-0.25000000000000006,-0.29809104258443453,-0.22540983606557366,-1.8230088495575212,0.15929203539823014,-0.8571428571428571
HSS2 Difference (Coincident - Noncoincident),-0.7377904681488714,2.8317796292800077,34.433580480887116,7.72715538293369,-6.221817586644297,6.9316286221238474,627.98312943701,10.742041826558104,24.2290949370661,-32.11320451672825,1.5294321271142624,-1.3317497228022408,14.567537735588742,-2.5391660479883735,3.143610025209164,2.7850921358840695,5.045709336897519,-13.642852624438063,-0.5028239952068688,-0.09583186180620185
""
GS (All),-0.2404311965229149,-0.533942841190634,-0.48560311284046687,-0.5516074556705187,-0.5928400224386763,-0.5907311253381728,-0.541664004906157,-0.5396485647835368,-0.43750000000000017,-0.45777794607694633,-0.5769746874046965,-0.32968618996286964,-0.47447126823127783,-0.375404939472205,-0.5204002161054707,-0.5453250670241288,-0.4980802161930756,-0.4929166395330249,-0.2168090510274764,-0.32105240155587605
GS (Coincident),-0.2687829836642337,-0.5582895296454274,-0.5067777984659141,-0.569090493466655,-0.6118909283471436,-0.6127497696563234,-0.5536692243967719,-0.5661460027064735,-0.4596922880030717,-0.48313740818313244,-0.6005545027340693,-0.34836970881995444,-0.4896747318975449,-0.39667898743430896,-0.5395396963463448,-0.5672423934548957,-0.5183923463150022,-0.5050420687948528,-0.23080332870436118,-0.33440104675565213
GS (Noncoincident),0.22492163009404398,-0.15050505050505053,-0.21810699588477367,-0.36776212832550875,-0.4194669756662803,-0.35878719820325655,-0.4155555555555556,-0.3225806451612903,0.031007751937984388,-0.13910186199342828,-0.06976744186046521,0.13817891373801913,-0.15662650602409647,0.06310885218127915,-0.13636363636363646,-0.15533980582524262,-0.1316931982633865,-0.3109151047409041,0.22037422037422044,-0.2631578947368422
GS Difference (Coincident - Noncoincident),-0.4937046137582777,-0.4077844791403769,-0.2886708025811404,-0.20132836514114621,-0.19242395268086337,-0.2539625714530669,-0.13811366884121629,-0.24356535754518321,-0.4907000399410561,-0.34403554618970417,-0.530787060873604,-0.4865486225579736,-0.3330482258734484,-0.4597878396155881,-0.40317605998270833,-0.41190258762965304,-0.3866991480516157,-0.1941269640539487,-0.45117754907858165,-0.07124315201880993
""
ORSS (All),-73632,-84660,-108528,-124684,-137640,-116970,-116464,-139000,-71064,-97664,-67560,-85920,-88704,-81408,-79704,-87548,-89472,-126588,-75000,-133812
ORSS (Coincident),-63176,-69412,-92448,-105672,-117068,-98324,-96304,-121344,-61138,-84872,-53300,-72576,-74880,-67868,-66138,-72504,-73248,-108712,-60134,-115188
ORSS (Noncoincident),-224,-528,-600,-858,-836,-726,-888,-620,-288,-440,-418,-320,-414,-390,-588,-572,-546,-660,-228,-702
ORSS Difference (Coincident - Noncoincident),-62952.0,-68884.0,-91848.0,-104814.0,-116232.0,-97598.0,-95416.0,-120724.0,-60850.0,-84432.0,-52882.0,-72256.0,-74466.0,-67478.0,-65550.0,-71932.0,-72702.0,-108052.0,-59906.0,-114486.0
""
SEDI (All),0.19770778782197956,0.12241081188892455,0.01353114637415588,-0.0659873803001628,-0.12897796547882986,-0.043691424193171714,-0.027567018979685925,-0.13061220134883061,0.2131946319312072,0.06952618211265775,0.1741953489582566,0.12834017571737114,0.11504112941859124,0.15950075280276282,0.15059653682426447,0.1048081354165859,0.107826453877696,-0.07654876121033075,0.18241419067773068,-0.21316298093868233
SEDI (Coincident),0.19720202888815844,0.13853108896134758,0.016904404772666907,-0.058500495911450213,-0.12247651238008027,-0.03355079177024408,-0.007086478220911333,-0.1404072544704618,0.2100230152862609,0.06194382576766907,0.19617189355895218,0.1350808956617808,0.12176309113199749,0.1711284835196011,0.16304978194737715,0.1182965959839365,0.1272842596376588,-0.07824224394691179,0.21684229997668603,-0.2189353106758528
SEDI (Noncoincident),0.2525982864176142,0.045768343701627315,-0.02239748389310622,-0.25514614586864126,-0.25935361362663417,-0.14072596610399393,-0.2902153350304556,-0.03705926860088683,0.36434890123484154,0.16359686875509102,0.17731791892654156,0.11494841752917216,0.198262462506774,0.08793253380280859,-0.05587181494217892,-0.015486378808771625,0.00783170574130913,-0.0735877272424804,-0.03987800694806162,-0.12629170841899978
SEDI Difference (Coincident - Noncoincident),-0.05539625752945579,0.09276274525972027,0.039301888665773124,0.19664564995719105,0.1368771012465539,0.10717517433374985,0.28312885680954425,-0.10334798586957496,-0.15432588594858063,-0.10165304298742195,0.01885397463241062,0.02013247813260864,-0.07649937137477653,0.08319594971679252,0.21892159688955606,0.13378297479270812,0.11945255389634966,-0.004654516704431386,0.2567203069247477,-0.09264360225685303
