12h-24h_mean_classification_summary
,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.5,0.4875,0.5625,0.5291666666666667,0.425,0.65,0.5416666666666666,0.7416666666666667,0.5,0.5875,0.5583333333333333,0.6541666666666667,0.6333333333333333,0.6,0.44166666666666665,0.4791666666666667,0.22083333333333333
MX Recall (Coincident),0.5296803652968036,0.6666666666666666,0.5114155251141552,0.5114155251141552,0.4885844748858447,0.5707762557077626,0.5388127853881278,0.4155251141552511,0.6575342465753424,0.54337899543379,0.7671232876712328,0.5205479452054794,0.589041095890411,0.5844748858447488,0.684931506849315,0.6575342465753424,0.6210045662100456,0.4383561643835616,0.5159817351598174,0.2054794520547945
MX Recall (Noncoincident),0.2857142857142857,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.47619047619047616,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.24396607958251793,0.23809523809523808,0.08284409654272668,0.1304631441617743,0.012393998695368558,0.09458577951728642,0.11024135681669928,-0.10828440965427272,0.08610567514677103,0.019569471624266144,0.29093281148075667,0.23483365949119372,0.017612524461839585,0.2987606001304631,0.3515981735159817,0.2765818656229615,0.2400521852576647,-0.037834311806914545,0.42074363992172215,-0.17547292889758642
""
TSS (All),0.12099225352555831,0.07336655592469554,0.0058949656347294654,-0.036587531821680175,-0.07973695646925316,-0.028213022802097254,-0.014551024882815566,-0.07838903271357966,0.1272815927529506,0.0431069946755368,0.10655676423311278,0.07843947998881173,0.06459886826378969,0.09535906146075646,0.08645304850912328,0.057424157336933734,0.06510686376047448,-0.04059795159271595,0.11446143745413817,-0.11904134250626885
TSS (Coincident),0.12245913290689414,0.08016472203157177,0.008437028657616974,-0.027173617899424296,-0.07443660683149822,-0.021328671328671334,-0.0034869206555953047,-0.08274757690686896,0.122929292929293,0.040030170788211805,0.11261269465440304,0.08196347741420917,0.06127770534550192,0.10253671471538683,0.09934169107382362,0.06624501239787706,0.07318474264705888,-0.039978979707332885,0.12610299030921657,-0.12467587546177283
TSS (Noncoincident),0.22716346153846156,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.17097701149425282,-0.12152777777777779,-0.19144460028050492,-0.023809523809523836,0.24489795918367352,0.10606060606060608,0.13265306122448972,0.1029411764705882,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,-0.0099290780141843,-0.06165311653116534,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.10470432863156742,0.050711706603801865,0.022800913746536366,0.13881554199217472,0.0965404046627546,0.10019910644910646,0.1879576796249096,-0.05893805309734512,-0.12196866625438052,-0.06603043527239427,-0.020040366570086676,-0.02097769905637903,-0.06729372322592664,0.0453679306863487,0.13505597678810932,0.07617409041206136,0.08311382066124318,0.021674136823832457,0.15146530914979628,-0.043723494509391836
""
