,hec_id,time_start,time_peak,time_end,nar,lat_hg,long_hg,long_carr,xray_class,optical_class,is_coincident
10045,20728588,2015-03-09 04:41:00,2015-03-09 06:02:00,2015-03-09 06:29:00,12297.0,-17.0,-53.0,194.0,C, SF,True
10147,20728690,2015-03-16 08:33:00,2015-03-16 09:52:00,2015-03-16 09:59:00,12297.0,-16.0,37.0,189.6,C, SF,True
11013,20729556,2015-08-27 04:41:00,2015-08-27 05:02:00,2015-08-27 05:13:00,12403.0,,,,C,,True
14894,20733437,2020-11-04 02:55:00,2020-11-04 03:04:00,2020-11-04 03:13:00,12781.0,,,,B,,True
14897,20733440,2020-11-04 06:28:00,2020-11-04 06:35:00,2020-11-04 06:42:00,12781.0,,,,B,,True
14902,20733445,2020-11-04 11:26:00,2020-11-04 11:32:00,2020-11-04 11:39:00,12781.0,,,,B,,True
14976,20733519,2020-11-08 00:59:00,2020-11-08 01:06:00,2020-11-08 01:09:00,12781.0,,,,B,,True
14981,20733524,2020-11-08 11:53:00,2020-11-08 12:02:00,2020-11-08 12:07:00,12781.0,,,,B,,True
14984,20733527,2020-11-08 16:18:00,2020-11-08 16:28:00,2020-11-08 16:33:00,12781.0,,,,B,,True
13583,20732126,2017-07-13 17:38:00,2017-07-13 17:43:00,2017-07-13 17:50:00,12665.0,-8.0,29.0,115.3,B, SF,True
15634,20734177,2021-05-18 13:17:00,2021-05-18 13:22:00,2021-05-18 13:26:00,12824.0,,,,B,,True
15647,20734190,2021-05-21 09:10:00,2021-05-21 09:16:00,2021-05-21 09:34:00,12824.0,,,,B,,True
15668,20734211,2021-05-22 07:10:00,2021-05-22 08:44:00,2021-05-22 14:03:00,12824.0,17.0,-37.0,179.8,C, SF,True
15675,20734218,2021-05-22 21:08:00,2021-05-22 21:15:00,2021-05-22 21:30:00,12824.0,18.0,-17.0,192.1,B, SF,True
15678,20734221,2021-05-22 22:55:00,2021-05-22 23:02:00,2021-05-22 23:05:00,12824.0,,,,B,,True
15693,20734236,2021-05-23 10:27:00,2021-05-23 10:48:00,2021-05-23 11:00:00,12824.0,,,,B,,True
15699,20734242,2021-05-23 16:54:00,2021-05-23 16:56:00,2021-05-23 17:00:00,12824.0,,,,B,,True
15714,20734257,2021-05-25 02:04:00,2021-05-25 02:28:00,2021-05-25 02:40:00,12824.0,,,,B,,True
