,Unnamed: 0,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
453,453,195.05034915254242,1948.5203389830513,40.522406779661004,34.045084745762715,63.28794915254238,79.89405084745763,0.026834132203389833,-0.0027180888305084745,7849.644067796609,33.116033898305076,4.895083050847458,8820028305084.746,26.4756779661017,6.741842372881354e+23,2477.767796610169,39185983050847.46,4.557816949152542e+22,357.1518644067796,79432.65593220339,18.418405084745764,C,False
595,595,572.2216949152543,1371.6016949152545,59.768966101694915,57.680152542372895,84.47135593220338,87.19679661016949,-0.03688607457627119,-0.011645059322033895,15571.796610169493,52.041152542372885,4.2739491525423725,19691384745762.71,57.90377966101696,1.0165972881355932e+24,2257.1067796610173,48087966101694.91,3.0273915254237286e+22,227.09254237288138,36373.08474576272,10.351579661016947,C,False
702,702,67.50410491525423,192.75254237288132,42.06167796610169,28.50557627118644,53.85838983050848,68.83716949152543,0.006584044067796612,-0.006367098305084746,5934.883559322034,35.484186440677966,3.9508288135593217,2505639694915.2544,29.26817118644068,6.816450618644067e+22,269.34086610169487,4150708711864.407,4.642790440677966e+21,60.68114915254238,1492.827966101695,10.307996610169491,B,False
836,836,114.76966101694914,814.728813559322,43.87288135593221,30.752542372881354,53.88813559322035,74.6050847457627,0.2829576271186441,-0.006453271186440678,8975.93220338983,38.69491525423729,4.760677966101693,4439474576271.187,37.24745762711864,2.134372881355932e+23,789.1186440677966,10527966101694.916,1.4904576271186445e+22,192.66440677966102,59020.50847457628,13.008813559322032,M,False
894,894,83.57667796610168,350.24711864406777,26.443169491525428,35.38037288135593,104.62842372881352,105.21793220338982,-0.29056876271186444,0.0042445898305084745,1916.0542372881355,22.459118644067804,3.348294915254237,5364164406779.661,4.1818237288135585,5.017855932203389e+22,589.0305084745762,12945847457627.12,1.2595406779661016e+22,14.731491525423728,44.74440677966103,3.9753508474576273,B,False
1112,1112,82.76611864406782,575.6149152542374,53.42174576271186,58.53810169491525,94.69167796610168,99.17030508474576,0.07072405084745763,0.0037081542372881353,9730.961016949157,45.235677966101704,4.204061016949152,2434218813559.3223,48.034288135593215,2.8958254237288134e+23,1058.392372881356,22734813559322.035,1.3897745762711868e+22,233.96677966101697,5096.823728813559,17.369457627118646,B,False
1168,1168,47.30074576271187,196.17338983050846,34.35022033898305,35.131508474576265,69.7822033898305,78.21966101694916,0.09728527966101697,0.0030367745762711865,4652.066101694915,25.91772881355932,4.245110169491526,1096358305084.7456,13.525118644067796,9.639798305084746e+22,473.6550847457628,8727145762711.863,1.0868535593220341e+22,531.6606779661017,48796.05508474576,55.196881355932206,B,False
1407,1407,61.059152542372885,2142.71186440678,54.65932203389831,67.27118644067797,105.8135593220339,107.69491525423729,0.2834915254237288,-0.0008694406779661017,10115.93220338983,44.71694915254237,4.462881355932203,7838983050847.457,44.64745762711865,7.117457627118644e+23,2766.949152542373,57544067796610.17,3.1186440677966104e+22,259.271186440678,22801.694915254237,13.166101694915257,M,False
1485,1485,400.22033898305085,1874.7457627118647,40.44745762711865,47.53389830508476,87.40508474576271,95.58983050847458,-0.03744791694915254,0.004682881355932203,9073.389830508477,34.50508474576271,4.753050847457628,25561016949152.547,27.09322033898305,1.0347796610169492e+24,4128.3050847457625,75532203389830.52,6.209830508474578e+22,192.88135593220338,27871.186440677968,9.865932203389828,M,False
1555,1555,512.1910169491525,1026.2450847457626,39.831711864406785,47.04540677966101,82.04333898305086,91.71391525423729,-0.036786155254237285,0.009553950847457629,8835.683050847456,33.40084745762712,4.698094915254238,21501174576271.188,24.878067796610175,6.252718644067796e+23,2862.3627118644067,45524983050847.46,3.918062711864407e+22,204.2971186440678,14586.971186440678,15.751610169491524,C,False
1680,1680,183.68249152542373,954.5071186440676,42.69366101694916,33.41952542372881,60.455813559322024,67.84983050847458,0.06354891355932203,-0.004634581864406779,10207.92033898305,34.54264406779661,4.251230508474576,7558754576271.1875,30.49022033898305,5.344311864406779e+23,1324.1016949152545,22096644067796.61,2.9195576271186443e+22,98.92328813559321,8918.574576271187,7.608693220338982,C,False
1818,1818,107.73520338983052,387.064406779661,25.096474576271184,30.400796610169486,83.83869491525424,86.02662711864407,-0.09042114576271187,0.002992535593220339,1726.9949152542374,19.807728813559326,3.2943423728813563,5095040677966.102,3.8531406779661013,8.22743559322034e+22,925.9147457627118,19048423728813.56,2.3328542372881364e+22,19.59461016949152,0.0,6.369089830508474,B,False
1885,1885,68.26520677966104,1032.4949152542372,31.704016949152546,33.857881355932214,72.2114406779661,81.30003389830506,-0.0033895372881355924,0.0009899508474576274,4488.8203389830505,25.11028813559323,4.48975593220339,2316747457627.1187,14.055061016949153,2.9391118644067794e+23,1445.0101694915256,25514084745762.71,3.3601559322033895e+22,530.5911864406779,21728.52372881356,39.25482881355932,B,False
1956,1956,42.2092372881356,624.4784745762711,41.28354237288135,48.47203389830509,97.98801694915255,100.25766101694916,0.11378277067796608,0.0016341401694915255,6526.4610169491525,35.44215254237289,4.10223559322034,1981778474576.2712,28.542525423728808,2.242740677966101e+23,1004.3732203389833,20845135593220.34,1.7132152542372882e+22,170.69101694915256,3760.703389830509,16.415254237288135,B,False
1962,1962,50.64750288135593,899.2610169491527,53.95066101694915,50.84369491525424,77.12644067796613,85.74003389830506,0.06360598508474576,0.0012200270000000005,17304.15254237288,47.7854406779661,4.568115254237287,3696188474576.2715,51.927322033898314,8.494661016949154e+23,1880.342372881356,36701220338983.055,2.681159322033898e+22,186.30593220338986,16589.883050847457,9.360988135593221,C,False
