,time_start,time_peak,time_end,nar,xray_class
0,2013-01-03 21:00:00,2013-01-03 21:08:00,2013-01-03 21:17:00,11640,B
1,2010-10-18 13:00:00,2010-10-18 13:11:00,2010-10-18 13:20:00,11112,B
2,2013-10-06 00:12:00,2013-10-06 00:51:00,2013-10-06 01:03:00,11857,B
3,2021-06-03 01:48:00,2021-06-03 02:05:00,2021-06-03 02:09:00,12829,B
4,2010-07-12 05:48:00,2010-07-12 06:06:00,2010-07-12 06:21:00,11087,B
5,2018-08-25 08:00:00,2018-08-25 08:13:00,2018-08-25 08:30:00,12720,B
6,2017-07-15 02:12:00,2017-07-15 02:26:00,2017-07-15 02:32:00,12665,B
7,2016-04-13 07:24:00,2016-04-13 07:57:00,2016-04-13 08:16:00,12529,B
8,2020-08-03 08:24:00,2020-08-03 08:39:00,2020-08-03 08:46:00,12770,B
9,2012-03-19 04:36:00,2012-03-19 04:41:00,2012-03-19 04:44:00,11434,B
10,2010-10-14 16:48:00,2010-10-14 17:03:00,2010-10-14 17:08:00,11113,B
11,2018-06-01 04:48:00,2018-06-01 05:04:00,2018-06-01 05:09:00,12712,B
12,2010-07-12 11:24:00,2010-07-12 11:39:00,2010-07-12 11:44:00,11087,B
13,2012-12-15 10:36:00,2012-12-15 10:47:00,2012-12-15 10:52:00,11633,B
14,2017-06-04 19:00:00,2017-06-04 19:04:00,2017-06-04 19:08:00,12661,B
15,2016-07-15 03:48:00,2016-07-15 03:54:00,2016-07-15 03:56:00,12565,B
16,2014-06-23 07:12:00,2014-06-23 07:33:00,2014-06-23 07:39:00,12087,B
17,2016-12-30 12:12:00,2016-12-30 12:29:00,2016-12-30 12:39:00,12621,B
18,2021-06-28 23:00:00,2021-06-28 23:15:00,2021-06-28 23:22:00,12835,B
19,2012-05-09 07:12:00,2012-05-09 07:20:00,2012-05-09 07:22:00,11476,B
20,2020-11-26 07:48:00,2020-11-26 07:55:00,2020-11-26 07:59:00,12786,B
21,2021-04-21 22:36:00,2021-04-21 22:48:00,2021-04-21 22:55:00,12817,B
22,2018-06-17 06:48:00,2018-06-17 06:57:00,2018-06-17 07:06:00,12713,B
23,2019-01-30 20:24:00,2019-01-30 20:34:00,2019-01-30 20:40:00,12733,B
24,2017-06-02 05:48:00,2017-06-02 05:55:00,2017-06-02 06:04:00,12661,B
25,2015-11-21 03:24:00,2015-11-21 03:41:00,2015-11-21 03:53:00,12457,B
26,2016-03-24 12:48:00,2016-03-24 12:58:00,2016-03-24 13:01:00,12526,B
27,2012-11-14 16:48:00,2012-11-14 17:04:00,2012-11-14 17:10:00,11614,B
28,2016-04-28 01:12:00,2016-04-28 01:25:00,2016-04-28 01:36:00,12535,B
29,2015-11-03 21:48:00,2015-11-03 21:56:00,2015-11-03 22:00:00,12443,B
30,2017-07-16 22:24:00,2017-07-16 22:35:00,2017-07-16 22:39:00,12665,B
31,2015-10-07 07:48:00,2015-10-07 07:58:00,2015-10-07 08:05:00,12427,B
32,2017-12-22 00:12:00,2017-12-22 00:21:00,2017-12-22 00:23:00,12692,B
33,2021-09-24 20:12:00,2021-09-24 20:23:00,2021-09-24 20:27:00,12875,B
34,2013-04-23 13:12:00,2013-04-23 13:21:00,2013-04-23 13:24:00,11726,B
35,2021-09-11 07:12:00,2021-09-11 07:28:00,2021-09-11 07:38:00,12869,B
36,2021-01-23 00:00:00,2021-01-23 00:42:00,2021-01-23 01:30:00,12798,B
37,2010-08-15 18:48:00,2010-08-15 18:57:00,2010-08-15 19:06:00,11099,B
38,2015-07-13 23:36:00,2015-07-13 23:48:00,2015-07-13 23:50:00,12386,B
39,2011-01-31 19:48:00,2011-01-31 20:01:00,2011-01-31 20:04:00,11150,B
