,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
341,278.1217632016807,3727.355714285714,40.28347899159663,32.50348739495798,58.717176470588235,74.81409243697478,-0.007254615462184874,-0.00208985452605042,12952.282016806723,31.705739495798326,5.417524369747897,5910738764705.883,29.74147058823529,2.394171847058823e+24,5171.49255462185,76871244537815.12,8.827964285714287e+22,366.3936974789916,831262.3529411765,8.104351260504203,C,False
343,61.06510135135135,1365.0513513513513,48.588324324324326,59.61424324324325,99.75097297297297,106.96648648648649,-0.12345725405405406,-0.0009073641081081081,10448.010810810809,40.748540540540546,4.751056756756756,9643451351351.352,39.0821891891892,6.952686486486488e+23,2609.145945945946,54252621621621.625,3.442367567567567e+22,251.27648648648653,23625.162162162163,13.19345945945946,B,False
523,175.5843238655462,1115.3593277310922,43.25595798319328,49.722134453781514,97.80078151260506,99.73701680672268,-0.027415573949579834,-0.004061638042016806,7203.194957983194,36.84663025210084,4.277518487394958,12121447058823.53,32.202868067226895,4.063384033613445e+23,1684.774621848739,36166714285714.29,2.650194957983193e+22,192.40849579831934,8930.102521008404,12.90804537815126,B,False
574,615.8252941176471,1368.3033613445375,59.79735294117648,58.06847058823529,85.47721008403362,88.12232773109243,-0.003171073361344538,-0.012873928571428573,15604.949579831933,52.07084033613447,4.285378151260504,22623022689075.63,57.88026890756303,9.93837899159664e+23,2204.2571428571428,47085773109243.695,2.94333949579832e+22,231.7152941176471,36092.83193277311,10.682236974789916,C,False
847,89.97471428571428,315.8521848739496,25.76694117647059,34.17896638655462,101.06453781512606,101.772268907563,-0.2958415714285713,0.004522262184873949,1730.1621848739496,21.425588235294118,3.278493277310925,5929136134453.781,3.5292218487394953,4.580261344537814e+22,571.8905882352941,12540319327731.092,1.2715100840336135e+22,11.095908403361342,27.6218487394958,3.663181512605042,B,False
1032,68.58417647058823,645.3924369747899,54.16795798319327,61.06168907563025,97.39249579831932,99.57751260504202,0.07448906218487394,0.003049263025210084,9497.648739495799,44.80036134453781,3.883686554621849,2576129915966.3867,47.30155462184873,2.8548663865546223e+23,1016.6000840336135,22162142857142.855,1.3791941176470584e+22,234.72117647058826,6545.299999999999,17.517798319327735,B,False
1310,47.79527731092437,2114.873949579832,54.45798319327731,67.79579831932774,107.6470588235294,108.91596638655462,0.3138655462184874,-0.000777984369747899,9641.176470588236,44.11176470588236,4.3689075630252105,8138151260504.202,43.77563025210083,6.446470588235294e+23,2553.781512605042,53857983193277.31,2.9419327731092435e+22,255.43697478991598,19147.058823529413,13.58655462184874,M,False
1388,355.10084033613447,1887.563025210084,39.89159663865545,46.29495798319328,85.91932773109242,94.11932773109243,-0.02290938739495798,0.004121680672268908,8938.90756302521,34.0672268907563,4.82731092436975,22340336134453.78,25.81848739495798,1.0242016806722691e+24,4127.983193277311,73802521008403.36,6.297310924369748e+22,194.41176470588235,30613.44537815126,10.20176470588235,M,False
1817,49.90434310344828,950.3887931034483,48.13113793103449,37.901275862068964,59.68768965517241,68.38382758620688,-0.12246649999999999,0.0013556339655172414,13552.051724137931,42.16358620689655,4.015979310344828,2585313965517.241,42.13246551724137,6.697455172413793e+23,1454.3344827586209,24403000000000.0,2.800839655172414e+22,197.04172413793103,5529.567241379311,13.610568965517242,C,False
1823,135.94724932773113,940.043025210084,55.74632773109244,52.755218487394956,77.49917647058824,86.81962184873952,0.10566483294117647,0.003561525151260504,18538.680672268907,49.495092436974794,4.628436974789917,7684336302521.009,55.04604201680672,9.136678991596635e+23,1993.3084033613447,38557966386554.625,2.6765815126050415e+22,182.2857983193277,28339.84117647059,8.790555462184875,C,False
