,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B1,0.0742765929600182,0.5971521415131065,-0.05912186915473683,-0.12280136285639998,-0.40447764772218875,-0.41919856679849943,-0.004671894444936001,-5.876759933899997e-06,-8.300143370004662,-0.07052423177542266,0.008271366393254098,71742469146.57227,-0.0966093825906178,4.736399907115961e+20,14.688923179199037,225750488550.47656,2.2795914777770276e+20,-3.0426569046014436,-122.21262379988912,-0.014911661011858257
B2,0.634852608312201,4.370516488399289,-0.0759149915517554,-0.20044505385298095,-0.47766122034664704,-0.15346309086471877,-0.0030118995422801983,2.8747907457199988e-05,-8.527492627092215,-0.04378438612619817,0.012850335575586236,45192000600.44141,-0.024425033364128268,-1.4849506815161443e+21,4.258395808578371,44675608719.10156,8.434470520113594e+19,-1.3698480522521663,156.84611145314557,-0.02664967704118837
B3,2.4451431390024823,9.915231333524162,-0.027980460479994917,-0.20115310107182438,-0.4527119491911975,-0.1824958571140769,-0.006690918060146701,-4.5375823521790534e-05,34.328072581629385,0.04024128343599642,0.030285316725120026,155755210159.34375,0.048284717338585637,1.4732016430464924e+21,16.376489845819833,279232039786.5703,2.4795173732478458e+20,-0.4108261635741428,626.5363827105684,-0.33755524762042555
B4,-1.6189867775912603,1.1613297864676042,-0.3106166216032804,-0.24057586217803362,-0.430227018750756,-0.3425946106672768,-0.0051330766799515,-9.435065284370816e-05,-40.3531472321647,-0.26082811269198203,0.017561963683403903,-96723138377.82812,-0.3234060304851738,-3.478948917652048e+21,-0.9531541956139336,-34809124882.765625,-6.432249395428721e+18,-1.9887041224193922,551.9329152414939,-0.15177985318970855
C1,-0.7806346280507341,2.01412525929436,-0.06897093916426655,-0.1256295117693753,-0.3811912787696343,-0.3897940944013101,-0.002671731140472304,3.5014291887900013e-05,-6.260210374957751,-0.07397562038520533,0.007464237498820303,34006640390.996094,-0.12419514762484951,1.784193764859075e+21,17.51426537059433,282661194511.3203,2.998524858178281e+20,-2.9473116832029973,8.896255383995594,0.04430300952710198
C2,0.0894938651909456,5.533816342382352,-0.04412933930611018,-0.17367831024728986,-0.49498699356315967,-0.14812837899472697,-0.0041810723640263,3.3396254155999947e-06,-2.025796535643167,-0.0291878693431471,0.014553063619582751,12591971985.175781,0.014693325384904199,-7.209561119327781e+20,5.632897128093191,62174164966.203125,1.1241016098843263e+20,-1.4202381306433267,396.875302933302,-0.2665969616616408
C3,2.4351254902211963,11.606890136091579,-0.008389331418037216,-0.16779274443835845,-0.43308301335176225,-0.14589950881455138,-0.0047109429778424,-4.4109863749899994e-05,45.1283745675737,0.06232527710001534,0.029918874955320085,141254822663.48438,0.08876534065720065,2.875533619697522e+21,20.056635307255874,339836289981.4922,3.0902611466070576e+20,-0.7214700628342143,496.88997179882426,-0.3433942457222905
C4,-1.0090123509295381,4.899611369727381,-0.2675219438668819,-0.22764040715837552,-0.48979831253279826,-0.4446362286558525,-0.005830180542774399,-0.0001049541913760056,-30.790285634260727,-0.23515625669785578,0.019530354824165208,-84354096054.1836,-0.27180168223565815,-7.707879523228131e+20,6.212468956805424,106288114854.64062,1.2643353987172742e+20,-0.4271879639563849,351.32285007988685,-0.09214340178381875
M1,0.27978300061408845,0.6652488572440234,-0.08216014892361301,-0.1179690574623109,-0.3648920059884233,-0.34463223392621956,-0.003130420926193596,2.5457521158800004e-05,-5.81519981440033,-0.08645338891010823,0.007058676530236951,53836735228.22266,-0.12744054235382407,1.1879112833539066e+21,16.271164336636957,247210207112.6797,2.578543200814592e+20,-3.1376795985217996,-0.5650653607663116,0.02310895009971148
M2,0.42130934881436133,5.052503909182633,-0.04721547746284216,-0.17930379844110433,-0.4821365625319203,-0.13894221591922928,-0.0037330539835825002,-7.602924300399998e-06,1.7018408382791677,-0.028039778962103412,0.014608516303106,36317376523.7207,-0.005402019711212347,-8.919907751336744e+20,4.624380593564638,31818861758.96875,9.446536329288273e+19,-1.2268224082707775,424.77670834465243,-0.2512568689468182
M3,1.8014227107864826,10.62540750404014,-0.017589117597943016,-0.18091319117230853,-0.45229168123586305,-0.16807295707495484,-0.0038818065825742022,-1.734885083490001e-05,41.0591392714814,0.050771661064970885,0.02846266323822988,116583383108.45508,0.07466625581802688,2.1822288415801328e+21,17.483874615058085,281309620795.3594,2.5756356351550607e+20,-1.1602382498875272,578.3633957296479,-0.38134024861135174
M4,-1.7637753240955476,2.7662755516616926,-0.27711108839180554,-0.27263995858660195,-0.5188951595682596,-0.4551493598003873,-0.005843991698962398,-0.00011120247971603223,-38.99924823093352,-0.2398366772324252,0.019132674432299268,-129451862006.5918,-0.281165949111319,-2.209553548415068e+21,1.5883600847505477,17944088655.648438,5.683875685815707e+19,-0.7115304498504429,333.15436928246345,-0.1177600976732549
X1,0.3792741758427951,-0.08087494769961268,-0.09390440816642354,-0.12639780162286485,-0.36856447895659983,-0.3471283315024607,-0.0027580069537598007,2.69434041683e-05,-9.679530167764824,-0.09195384983744503,0.0070208753683491665,42712401392.98047,-0.1334354562199742,6.730844519443254e+20,14.994807357875288,219677086304.0,2.4175773007096683e+20,-3.054454574078136,-2.7537134605881874,0.032575267253221796
X2,0.504601349268512,4.894108991066787,-0.04212975999053015,-0.17677570625301797,-0.4839873203830791,-0.14498744059571322,-0.004200956038537502,5.219060269700003e-06,3.219007769244854,-0.028857069405809455,0.0143547056733766,41673395714.41016,-0.011292389196167818,-1.1413146173046407e+21,4.0561782806976225,19939070972.5,8.889246300093861e+19,-1.2638603566286974,384.434355575213,-0.2575347511002768
X3,1.6553555755169782,10.475516634308178,-0.01753013692471228,-0.18111427091703547,-0.45220602096819107,-0.174385293559439,-0.0036454695594520005,-2.8600085894700007e-05,40.98157947708205,0.050067966143132026,0.028290679971555655,112908353678.14648,0.07308873922674408,2.146264220963837e+21,17.38547573056121,279067908834.3047,2.602543300502597e+20,-1.114217699406197,552.6620164375345,-0.3711559516821943
X4,-1.9419550345606353,2.634126590502774,-0.27878880001714634,-0.2734240921742028,-0.5160257298730784,-0.45095667969233943,-0.006046044286717199,-0.00011355278317567083,-40.82604123850615,-0.241948994113649,0.018940668088188062,-128579255647.0664,-0.2845711166992011,-2.220854251599631e+21,1.86689198659451,23976647818.882812,5.9232716533404795e+19,-0.7413938020410455,305.60383301752154,-0.12072152121720947
