,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B1,0.2006947246725872,0.30600878068594284,-0.07371901883099952,-0.12432579392611842,-0.38941366625554963,-0.38898190840380664,-0.0038692584201356003,7.889732901299998e-06,-8.890019973074232,-0.07946300273604123,0.007723792001475438,59510813188.71094,-0.11209057848526882,5.547638247571e+20,14.807877332360022,223040281736.6875,2.33643843121578e+20,-3.060555258830277,-79.03327734934282,0.0052631286008058
B2,0.5670809136013304,4.537214641610717,-0.06183744316361128,-0.1906615324038583,-0.4803163408134594,-0.15003570838963753,-0.0035118259306242995,1.8881588425999994e-05,-3.701741997987483,-0.03762063820121142,0.013428157706283805,43244172454.734375,-0.019052003861318667,-1.3629292553761655e+21,4.092453845794807,32895974724.757812,8.535391662406998e+19,-1.3397742462757662,246.05637646033574,-0.1244000708040005
B3,2.0927461056595007,10.090759192743008,-0.02376660726577029,-0.19300166923265039,-0.4525029985056932,-0.17931109526800526,-0.005417820194506599,-3.834801303902523e-05,36.94654600453032,0.04410728784605311,0.0293967413669316,137035527245.96875,0.058310170852344356,1.7184388937793269e+21,16.664790822837404,276841289296.3125,2.5161728095824747e+20,-0.7155372474880153,589.175071552876,-0.35164082795978757
B4,-1.7822101156078247,1.704025819130493,-0.29751608638222393,-0.2546357909138308,-0.46610038026949496,-0.3881803990075525,-0.005519249916661001,-0.00010238330648982425,-40.7757962290616,-0.2531946182169875,0.018064416224987667,-111045108153.78906,-0.30758577791759834,-3.001683682632424e+21,0.04803890413586487,-13299164907.109375,1.90508096948399e+19,-1.4710209828828908,442.0303463163873,-0.13850790863685347
C1,-0.38315273187635057,1.2603790541018043,-0.0777713662489603,-0.1259573741377551,-0.3766880458327506,-0.3748485567426769,-0.002701999064495801,3.2239996552399996e-05,-7.534575762627355,-0.08036112991859312,0.007295997436990831,36758966828.953125,-0.1275913253680443,1.3783375483258316e+21,16.57820252210331,259728773567.8125,2.788810487959042e+20,-2.9862242865835356,2.3358170933424844,0.040313552239808814
C2,0.22429563539753872,5.2871446188803475,-0.043486147874190806,-0.17482522638751163,-0.4910606102760795,-0.1470586584886462,-0.004188019220719999,4.060130206799998e-06,-0.2722902232344495,-0.029138102707307212,0.014466726883775927,22434902213.152344,0.005487632447049862,-8.853688281656931e+20,5.024787449809992,46496117802.89844,1.0354652169018907e+20,-1.366736569694126,389.7865003699917,-0.26325566372010556
C3,2.1537335081546303,11.192278196197094,-0.011631248701334584,-0.1724982133716111,-0.4397014956945213,-0.15587577727357882,-0.004338752760648698,-3.863974428899999e-05,43.60858764796285,0.05798466334223917,0.02933776523730547,131059685642.29688,0.08317362295760944,2.606290317308076e+21,19.076447243036455,317864591856.16406,2.914618641522245e+20,-0.8600283210578823,513.449384061656,-0.3530069634157904
C4,-1.3390090278008415,4.099010396553695,-0.27147719603344456,-0.24364438557390855,-0.49891747211496806,-0.4468484611926016,-0.0059057855414642,-0.00010793296942064902,-34.32820425537648,-0.23755247178873162,0.01931601611419964,-99931977257.9082,-0.27630571389565617,-1.2840686208506376e+21,4.672535397271076,77196607580.10156,1.0272283044855415e+20,-0.5375262435086938,334.38812727804907,-0.10207957237070175
M1,0.3132055599075443,0.4160200555370466,-0.08608689325436103,-0.1207878073295916,-0.3661219729057734,-0.3454669554784999,-0.0030058578102629963,2.5954106586199992e-05,-7.106442476675511,-0.08829113141680267,0.007046119496799008,50121400053.5918,-0.1294437757702127,1.0160043262688016e+21,15.845010184766124,238013825884.72656,2.5247888060603538e+20,-3.1098394065308526,-1.2796294075451442,0.026274740986316658
M2,0.4491429641014406,4.99938478711033,-0.045514662708967535,-0.17845826025306621,-0.4827552449221457,-0.1409639692485598,-0.003889543833970603,-3.314705094099998e-06,2.2091052422092616,-0.028313630270687895,0.014523494957025207,38107986951.5,-0.007371471052259437,-9.75410137717996e+20,4.434257580810936,27844285442.46875,9.260053827188215e+19,-1.239209144379572,411.2036452813263,-0.25335336117283447
